	z_coordinate_0	z_coordinate_1
0	-0.79727805	-10.313808
1	5.0192204	1.3807923
2	-7.417815	8.492248
3	2.0892684	-3.9063814
4	-10.776009	0.7854624
5	1.8837357	3.7798553
6	13.648415	2.8025475
7	-2.2532506	3.2120388
8	-7.5824475	8.286501
9	-6.602699	7.7162347
10	-7.2659707	8.256066
11	-2.7570546	3.3645103
12	16.75404	-5.0402718
13	2.1460452	-2.7690427
14	1.6515714	-2.4654229
15	-10.380428	0.9347224
16	2.1478546	-2.7988343
17	-7.389363	7.913805
18	2.3178906	-2.9541616
19	6.5335903	2.4528794
20	1.5162259	-2.6370385
21	1.8408786	-1.875796
22	-6.8719883	-12.304529
23	-8.484558	0.94537485
24	-8.1086855	-2.9477625
25	14.099685	2.587736
26	-6.624067	-11.635516
27	-6.991095	7.9579782
28	-5.737187	-12.038489
29	-10.86749	0.475235
30	1.4274045	-2.2366705
31	1.0765411	-2.9998076
32	0.4422822	-3.0779982
33	-7.003809	7.18916
34	-4.324098	1.0541153
35	0.7061078	12.370116
36	2.300901	-3.021096
37	-10.814921	0.8599505
38	3.1169221	-0.23768748
39	2.1654677	-2.5327728
40	-7.5218625	8.228498
41	1.6321965	-2.953865
42	8.255126	12.071317
43	1.1728221	-2.8693564
44	7.9839683	12.324511
45	0.9401212	-3.0597816
46	1.8634237	-2.8691242
47	-10.938151	0.5926011
48	-10.825382	0.14898817
49	3.4067254	-2.762514
50	0.96439356	-1.8129861
51	6.522781	2.6141841
52	2.2746048	-3.7460635
53	13.026053	1.5502383
54	1.0109231	-2.6729977
55	1.9812758	-2.824688
56	5.1426144	6.3557506
57	1.9549807	-3.0318189
58	1.6338946	-2.3930383
59	12.169468	3.2337701
60	-7.2871156	7.7086873
61	-10.152798	0.77917725
62	6.0156307	2.4552197
63	7.9397535	11.423375
64	1.9932675	5.5749493
65	1.9875083	12.295253
66	1.8414873	-2.00644
67	1.6390885	-2.6687152
68	11.450631	7.5754123
69	6.594663	2.3759553
70	-9.088356	-3.4297009
71	2.145258	-3.16489
72	1.7697185	-2.713482
73	-2.563585	1.854179
74	-5.8276024	6.348145
75	-6.535316	-11.590996
76	-5.764737	-11.583387
77	2.0813408	-2.2376661
78	1.8523527	-2.8127763
79	1.3599968	-2.0367143
80	1.8418796	-2.2949147
81	2.470166	-2.49239
82	-7.06855	-11.244007
83	-5.3054852	-9.383525
