	z_coordinate_0	z_coordinate_1
0	-0.7808074	-3.77554
1	-3.8997715	4.0219007
2	-4.802813	-2.5177631
3	4.011627	6.7886076
4	-1.4037105	-6.8311534
5	-1.9244748	5.062536
6	-4.8247924	-2.556705
7	0.87167954	1.6089419
8	-4.017435	-1.3880028
9	-5.214335	-3.9131038
10	-5.375021	4.710244
11	-4.823892	-2.4854047
12	3.604177	-0.7960064
13	-2.0134168	10.358067
14	-3.2742918	5.7656107
15	-5.513807	4.766989
16	-3.0860412	7.18689
17	-5.1441097	-3.6864123
18	-6.707368	5.4970284
19	-0.7593649	-6.3778396
20	3.14228	-1.5625651
21	-5.1306415	-3.7328525
22	5.136633	1.9212874
23	3.1359384	-1.3100023
24	-5.9415493	3.4425452
25	0.7687295	1.6244168
26	-4.445581	-1.5392585
27	-1.5700547	10.2268
28	0.15731348	0.4749384
29	-4.5822105	3.398523
30	-5.4046535	-4.795314
31	-2.82308	-3.624757
32	-0.115447655	-3.568696
33	3.3467538	-0.9797589
34	2.901884	5.757977
35	-2.2336893	10.327064
36	-1.9013921	-2.389154
37	-6.1933107	5.068053
38	-5.21724	5.698301
39	-5.0625544	5.315478
40	-0.75162	-4.313108
41	6.420713	-4.3306465
42	-1.6777738	3.7391233
43	-2.4522746	-2.7024875
44	-4.793252	-2.567812
45	-2.3997512	-2.6685443
46	-2.396196	-2.648374
47	-4.969203	6.1807423
48	-3.2552645	2.6278138
49	-4.88363	5.3697963
50	0.054533407	-5.5144176
51	1.0828878	-2.8764265
52	-3.2378328	5.4286776
53	-5.052252	5.405832
54	-4.7694287	-2.5472405
55	-3.1867173	-4.687272
56	-3.185893	-4.6780963
57	-2.3518896	-2.2502577
58	-3.3176627	2.4814053
59	-1.720449	10.207653
60	-4.874323	-2.731827
61	-1.0737275	-2.79929
62	-1.6067897	-6.2938557
63	0.59437114	1.6050506
64	-4.264127	2.8707418
65	3.8401136	-0.97665256
66	-2.2339416	4.758729
67	-4.8377023	-2.4903984
68	-4.119617	2.5383887
69	-0.2341054	-3.1669245
70	3.4115314	-1.4305533
71	-2.946	-3.5662622
72	4.28105	-3.7729185
73	-3.257272	5.5473924
74	-1.9957289	4.9370975
75	0.3135726	0.5225581
76	3.5415068	-2.2596343
77	1.019694	1.9041469
78	3.922782	-1.045813
79	-4.3778195	-1.6836544
80	-2.8132157	-3.6699634
81	-5.7417355	4.6215835
82	0.40326828	0.59807855
83	-1.7708532	3.5197055
84	-1.8014982	6.4172177
85	-3.6694736	-1.5607421
86	1.2757844	1.9746735
87	-3.2755585	5.826186
88	-1.5370733	3.4365053
89	1.0870105	1.7572762
90	3.9898543	-3.009003
91	-2.7176993	-0.5940608
92	2.2365787	10.476447
93	-2.8603814	4.876344
94	4.829322	-3.7659588
95	-1.3578551	4.1635146
96	2.1111796	1.7739415
97	-4.030132	-1.448004
98	0.9332493	1.7683208
99	-1.927966	-1.6750072
100	-0.14951392	-2.0193088
101	-5.716792	3.3905377
102	0.46085823	0.553297
103	-4.315583	-1.5683906
104	-2.5632644	6.139645
105	0.14963631	0.5295416
106	3.630893	6.0008445
107	-4.741064	3.602472
108	-3.148782	2.6027594
109	4.0442796	7.0475965
110	0.99245685	1.5645529
111	-6.009443	5.138708
112	-5.3450465	-4.039825
113	-4.85242	-2.601949
114	-4.817414	4.286612
115	-0.63193625	-3.2724447
116	-0.27110416	-2.5190632
117	-4.5035715	3.5552387
118	3.619906	6.026882
119	-0.80066895	3.647269
120	-3.0567155	-4.620893
121	2.4144876	6.619673
122	-4.7517724	5.2304926
123	-4.65866	4.2216473
124	-4.5046225	3.55424
125	-5.2004647	-3.8384473
126	-6.377269	4.7964034
127	-2.632616	5.5940537
128	3.0613637	6.8127704
129	-6.0821037	4.6825976
130	-2.7573183	5.0469837
131	-4.789143	-2.5088792
132	-4.819724	-2.4927037
133	-4.56109	3.5965402
134	-4.1238503	2.7247546
135	-2.4410248	10.522617
136	0.7921469	1.7700638
137	6.382873	-5.921505
138	6.7116084	-1.8263633
139	-4.782442	5.2952094
140	-1.27361	-6.462676
141	-3.223018	5.464049
142	-4.2581615	2.146204
143	-3.6544538	6.988294
144	-2.5542822	-3.9085023
145	-3.13912	5.6104794
146	-6.333043	5.7204795
147	-4.363809	-1.6233071
148	-4.3617477	-1.5520879
149	-2.5367942	-4.9542212
150	-1.5732447	3.2935424
151	-0.26787305	-2.09073
152	-2.3574615	5.9017115
153	-3.297053	5.578122
154	-1.7979338	3.5418715
155	-4.261703	-1.6022322
156	-4.792404	-2.4592075
157	1.4495546	-3.4417806
158	-2.67564	-3.7406328
159	-0.7962502	-4.7651224
160	-4.901145	3.7233255
161	-4.843868	-2.4719603
162	-2.6644974	-0.47193772
163	-2.6644974	-0.47193772
164	7.517806	-3.9542515
165	7.116572	-3.6970153
166	-0.13071057	4.5009007
167	0.66833365	-6.1167693
168	6.5509076	1.8924665
169	5.34318	1.9747835
170	-0.6027461	-4.6246796
171	-0.24584602	-4.4169674
172	-1.4850508	-1.9822426
173	7.100963	-3.6363153
174	6.298944	-3.8391457
175	7.714598	2.6011462
176	-4.1216536	-1.6234871
177	6.399768	-3.7159162
178	6.9977746	-4.9976187
179	6.755687	-1.7695786
180	-0.16332611	4.2524705
181	-3.2275896	2.5723007
182	0.08412227	-2.9942489
183	0.51610047	-6.16097
184	-3.2659476	-5.172165
185	4.568675	-2.9757285
186	6.89005	-3.556892
187	0.07580429	-2.989556
188	-3.469269	-5.0838246
189	4.5321846	6.461816
190	7.374748	-3.5303752
191	-0.19063687	-7.6099806
192	7.156355	-3.4788132
193	-0.28566277	-2.959509
194	8.506441	-2.9427087
195	-0.45448405	-3.143087
196	2.4779828	1.4198003
197	6.993541	-1.8010854
198	-2.9693658	-5.83015
199	-3.3278255	-5.122673
200	6.879648	-3.5219295
201	4.96526	-3.769388
202	5.0780163	1.8116295
203	0.2543574	4.707224
204	4.2095914	-3.0057716
205	6.658736	-3.6023686
206	-0.3002075	4.4123187
207	1.1255647	-2.823848
208	4.1973863	-3.050587
