	log_likelihood
0	2.1557758
1	10.52157
2	26.003027
3	11.199973
4	20.678572
5	14.693957
6	23.184021
7	11.541524
8	19.179688
9	25.144493
10	18.768015
11	28.268887
12	6.6323304
13	7.195449
14	15.223605
15	19.260368
16	-0.39316076
17	22.037043
18	10.377247
19	23.807405
20	9.514675
21	26.61875
22	2.9006076
23	11.691574
24	12.663106
25	13.939806
26	21.756737
27	2.8857713
28	6.9472747
29	13.242218
30	21.305182
31	29.220358
32	4.284835
33	5.9585705
34	3.5764413
35	6.0877604
36	16.71586
37	19.241724
38	13.014694
39	8.817428
40	19.546623
41	13.369466
42	19.893198
43	26.5332
44	27.296732
45	29.559992
46	28.535809
47	2.3818812
48	17.833853
49	16.429758
50	16.003338
51	14.449272
52	13.080383
53	16.114376
54	21.350397
55	28.203083
56	27.23207
57	21.823874
58	13.835794
59	1.8515899
60	20.511822
61	10.682078
62	13.845819
63	14.614296
64	12.415316
65	12.11413
66	17.507645
67	28.97409
68	19.584324
69	22.159996
70	10.628929
71	24.551987
72	7.456867
73	16.74126
74	16.39131
75	9.003437
76	8.829537
77	14.713483
78	12.14743
79	27.223684
80	28.534637
81	14.667564
82	2.7324967
83	14.380727
84	-4.0085096
85	10.6744175
86	9.470119
87	14.096979
88	15.45847
89	8.561589
90	14.15386
91	17.860003
92	-0.9698065
93	12.705797
94	12.344045
95	15.639361
96	2.674921
97	17.916824
98	6.633414
99	19.968174
100	4.8087997
101	12.7287
102	-0.7818673
103	28.301575
104	6.544243
105	2.8804638
106	19.782269
107	18.581175
108	18.415342
109	9.8650255
110	5.593016
111	11.150741
112	23.20263
113	28.360025
114	17.951447
115	17.143087
116	17.410364
117	17.96402
118	20.058582
119	11.431712
120	26.710018
121	-0.31048337
122	15.6102705
123	14.702655
124	14.215937
125	27.541203
126	15.965376
127	14.561943
128	-2.549665
129	14.022545
130	15.828413
131	28.34344
132	27.300837
133	19.813576
134	21.98309
135	2.3380487
136	9.841191
137	11.828262
138	16.817417
139	16.105774
140	17.362043
141	16.391567
142	10.064955
143	4.36323
144	20.127771
145	12.205595
146	16.565985
147	29.148975
148	27.059341
149	4.439429
150	9.289112
151	16.61144
152	6.23379
153	14.981494
154	16.03886
155	28.123043
156	26.269764
157	14.483383
158	22.371517
159	10.322572
160	17.934608
161	25.480999
162	16.194891
163	16.254343
164	12.014454
165	19.92537
166	10.55335
167	21.218235
168	8.600014
169	5.5632105
170	11.992877
171	17.943258
172	4.7076907
173	21.02732
174	17.024395
175	3.7520223
176	22.689068
177	18.470987
178	16.23336
179	18.500841
180	9.25004
181	17.42815
182	15.298042
183	18.158812
184	21.667017
185	13.775061
186	23.177235
187	12.213661
188	20.677452
189	17.44644
190	20.23973
191	20.634861
192	19.100964
193	14.065683
194	7.6488404
195	10.46312
196	5.518544
197	15.010875
198	10.515536
199	21.814924
200	23.106327
201	11.696949
202	1.7895899
203	1.3506182
204	13.925787
205	22.581455
206	15.676132
207	13.464174
208	14.32662
209	18.86616
210	18.162975
211	23.610985
212	15.8834
213	12.198277
214	0.09370856
215	-1.1070073
216	6.8316946
217	20.873775
218	9.40182
219	10.794746
220	4.897475
221	6.0599747
222	-2.345258
223	18.611124
224	5.0007944
225	13.542071
226	11.581845
227	13.936556
228	15.027552
229	27.428675
230	2.527965
231	19.957468
232	9.942159
233	13.584
234	10.330153
235	14.132037
236	17.243359
237	0.95443803
238	8.93866
239	9.478423
240	19.597143
241	15.314085
242	15.7513
243	18.102146
244	19.031721
245	6.9650664
246	-3.2778652
247	10.182747
248	11.411708
249	13.8261385
250	9.181498
251	-11.746443
252	13.8812275
253	20.198128
254	14.135866
255	20.990152
256	19.609335
257	21.11595
258	10.213405
259	-4.242174
260	24.3903
261	15.272299
262	11.886435
263	18.024893
264	10.159726
265	10.33242
266	9.026087
267	16.653915
268	7.9741683
269	19.59647
270	8.450655
271	16.334354
272	18.909153
273	18.070578
274	16.168188
275	20.437374
276	21.217213
277	3.9193947
278	18.326977
279	8.913141
280	4.178297
281	5.2486043
282	19.605438
283	15.8793335
284	15.135527
285	19.436731
286	21.51984
287	17.079943
288	7.7884917
289	17.53631
290	-10.03441
291	1.5072477
292	19.305805
293	2.5418754
294	10.078517
295	19.087397
296	1.704266
297	16.402603
298	9.816403
299	3.282477
300	16.936533
301	11.739121
