	z_coordinate_0	z_coordinate_1
0	-0.3597004	-2.150636
1	-0.1328528	-2.565337
2	-0.14769986	-4.16025
3	-0.101278916	-3.7155313
4	-0.2067691	-3.7313724
5	2.9085848	-1.8994439
6	2.7342024	-1.5506643
7	2.5908334	-1.4476402
8	2.7749028	-1.750769
9	2.7269087	-1.5864308
10	2.837064	-1.7622428
11	3.1118479	-2.5706809
12	-4.9780493	-3.1235192
13	-6.359635	-2.0775857
14	-4.836237	-3.3176618
15	-4.5433154	-5.1378155
16	-6.3940268	-2.0184014
17	-5.68639	-4.0285935
18	-5.6471252	-2.0738602
19	-7.152632	-1.8642268
20	-6.5108457	-1.7805505
21	-6.7341514	-1.7681171
22	-6.965265	-1.8930899
23	-6.7238364	-1.9682957
24	-7.6207566	-2.4909282
25	-6.7968187	-2.1941054
26	-7.723684	-2.4082983
27	-6.653975	-1.8769231
28	-6.5561194	-1.8060226
29	-7.3544827	-2.076875
30	-6.8977733	-1.868604
31	-8.454145	-2.5091143
32	-7.2540402	-1.8782943
33	-8.413528	-2.466207
34	-2.3067327	-2.1980484
35	-2.5547268	-2.4593992
36	-2.4042983	-3.944453
37	-2.5015447	-4.6364493
38	7.4573965	-7.711571
39	7.420168	-7.774977
40	-1.0482116	-7.093192
41	-1.1589216	-6.976603
42	-1.1239547	-6.9833574
43	-0.5078782	-4.7658095
44	-0.8199501	-4.979282
45	-0.8539531	-4.9557323
46	-0.7599869	-2.696173
47	-1.1738726	-2.6523502
48	-0.3776634	-3.7929
49	3.386347	-5.276097
50	3.2702985	-4.8063126
51	3.578158	-6.177517
52	3.6201077	-6.18178
53	6.420587	-10.508435
54	8.980192	-8.253955
55	8.885057	-8.109883
56	9.70195	-6.6494145
57	1.7931737	-8.789117
58	1.8813107	-7.75781
59	2.0506723	-7.3927584
60	1.7712874	-6.8172708
61	2.15791	-7.34305
62	1.9862009	-8.344106
63	3.0445068	-7.596462
64	8.408166	-6.7833095
65	8.04747	-6.8628097
66	0.33455825	-8.176174
67	0.58831424	-7.475445
68	0.50145197	-7.5920634
69	-2.0154598	-7.8096323
70	-2.0430753	-7.2168965
71	-2.0488656	-7.7665453
72	-2.0722506	-7.858462
73	-1.8361801	-6.3880215
74	-1.8747672	-4.1154957
75	-2.9959424	-2.0268474
76	-1.942905	-3.765642
77	-1.787642	-4.043668
78	-1.797682	-4.63653
79	1.3650764	-6.994476
80	1.699099	-6.1211967
81	1.361423	-7.143317
82	1.6537092	-6.7274876
83	-0.7019605	-3.88923
84	-0.48181674	-3.2110794
85	-1.0056865	-4.0233393
86	-0.67530406	-3.0484333
87	-0.055090364	-1.464538
88	-0.055239677	-1.8193326
89	-0.16272591	-1.8015563
90	-0.12938829	-1.6591852
91	0.79330665	-4.5522046
92	0.7159813	-5.3331213
93	0.82985175	-3.9841912
94	-0.077354655	-2.5154085
95	-0.16306047	-2.2431626
96	0.017936122	-1.6534104
97	0.16230541	-3.2091565
98	0.062368173	-2.1726367
99	-5.6867113	-0.6212617
100	-5.1862464	-0.76107794
101	-8.821977	-2.2874506
102	-6.135533	-0.725985
103	-6.2120996	-0.6128808
104	-6.4903283	-0.675154
105	-6.37367	-0.6692604
106	-6.1846647	-0.5162708
107	-6.368768	-0.64202124
108	-6.389051	-0.70972955
109	-4.5545006	-1.5436113
110	-1.7843866	0.6402077
111	-2.1411257	0.66394395
112	-2.1126165	0.63260686
113	-1.9575961	0.6682756
114	-2.2948375	0.6729964
115	-1.9910347	0.62606055
116	-1.8808107	0.61728346
117	-2.2615576	0.80937165
118	-2.071565	0.5823938
119	-5.4722967	2.5449347
120	-5.701438	2.6111763
121	-5.7821584	2.605641
122	-5.800131	2.73711
123	-5.781232	2.56663
124	-5.706926	2.6155062
125	-5.809057	2.8250248
126	-9.046023	2.6885777
127	-9.158018	2.5523634
128	-8.962734	2.7190259
129	-9.185704	2.4779115
130	-9.153138	2.4987233
131	-9.236943	2.4661179
132	-9.111188	2.5594583
133	-9.842355	2.3150089
134	-9.164932	2.5503185
135	-9.162842	2.6831105
136	-9.180293	2.543119
137	-9.072297	2.729838
138	-9.091021	2.6620665
139	-8.996828	2.8827624
140	-8.644286	3.1258578
141	8.295963	4.4384117
142	5.345687	3.105303
143	5.3602324	3.1821437
144	4.868531	3.07996
145	4.825683	2.9359896
146	5.3717203	3.205404
147	5.3946457	3.1813643
148	5.2571983	3.0451875
149	5.0162387	2.8673143
150	5.034949	2.8635604
151	8.355716	4.5641766
152	4.9842434	2.8880787
153	8.371422	4.542284
154	8.047024	4.7672696
155	4.521998	3.0146623
156	3.1276734	2.1248856
157	3.1963592	2.176636
158	4.770261	2.746667
159	8.72468	3.6668704
160	3.0470896	2.1336615
161	8.8001175	3.3422515
162	8.8986435	3.2916534
163	3.2544441	2.237441
164	3.1516418	2.2237866
165	3.015533	2.0512135
166	3.1734595	2.37263
167	3.2170026	2.2313325
168	3.242463	2.213295
169	3.27258	2.280344
170	3.28674	2.2122736
171	0.64733344	-0.960505
172	0.6592599	-0.91264623
173	0.63614947	-1.1592734
174	1.113106	-2.2809038
175	0.92559034	-1.8060551
176	0.7948348	-1.0625292
177	0.7128688	-0.9320658
178	0.12809354	-2.02214
179	0.11286676	-1.43174
180	-0.0045262016	-2.0126305
181	0.12844387	-1.4281343
182	0.12005034	-1.5174202
183	-0.1281634	-1.7205625
184	-0.065218695	-1.9416012
185	0.21580657	-2.0800583
186	5.689388	-4.5797505
187	5.99708	-4.854183
188	5.8744164	-4.6429434
189	6.1447077	-5.213431
190	6.0188956	-5.1251597
191	6.1900363	-5.076414
192	7.433211	-6.1645365
193	7.4596777	-6.0842
194	8.749858	-5.4394317
195	8.905577	-5.165507
196	8.758584	-5.181827
197	8.720505	-5.142894
198	9.410825	-7.737731
199	9.467104	-7.735891
200	8.492558	-6.1885986
201	9.058331	-6.034227
202	9.4886	-5.8753433
203	9.572079	-5.84776
204	-2.2225711	-5.0584826
205	-2.0554385	-3.1841683
206	-2.5900075	-1.9885544
207	10.102333	0.79877883
208	9.474597	1.3611312
209	9.705625	1.2088755
210	9.542248	1.3233428
211	9.985371	0.8326778
212	-2.1140623	-4.3490925
213	-2.0727444	-4.888955
214	-2.0811892	-3.68631
215	10.076785	1.4644129
216	1.1977377	0.08669542
217	9.46509	1.8372968
218	9.58182	1.6862477
219	9.725195	1.0497268
220	9.63656	1.2117548
221	9.930469	0.95515096
222	0.3627623	-0.14231399
223	0.33050722	0.18238093
224	0.29795983	0.27696395
225	0.37724242	0.22683148
226	0.39068902	0.054700118
227	1.0053607	-2.7801802
228	0.9136856	-2.6805363
229	0.39252746	-0.4845864
230	0.47453123	0.073642716
231	0.43784484	0.1369005
232	0.43838134	0.09794946
233	10.135735	0.92206
234	0.44615144	-0.58964276
235	10.001835	0.9201351
236	0.6053397	-0.042295672
237	4.513224	-5.9492044
238	4.2730603	-5.3201046
239	4.018629	-5.081177
240	3.862473	-5.0262666
241	4.1443706	-5.429267
242	4.556432	-6.6326785
243	2.276687	-7.390234
244	2.0807157	-7.250363
245	1.9190574	-8.432068
246	2.2423701	-7.3671207
247	2.0940862	-7.9214106
248	1.5047605	-9.031825
249	1.362129	-9.05685
250	1.4068567	-9.196509
251	1.6052955	-9.881444
252	1.6477126	-9.656465
