	log_likelihood
0	22.438265
1	22.089527
2	21.010553
3	22.424738
4	23.826794
5	21.28305
6	19.441776
7	12.787963
8	16.923573
9	17.807215
10	20.637842
11	14.575859
12	26.794226
13	29.662037
14	26.071798
15	20.509235
16	31.349812
17	11.284334
18	29.260712
19	27.043896
20	31.160458
21	29.618145
22	27.9286
23	29.838186
24	26.186895
25	29.996454
26	26.491306
27	27.691217
28	28.046276
29	27.621939
30	29.17837
31	19.885902
32	28.10584
33	20.03415
34	26.876553
35	23.909447
36	27.695591
37	26.85644
38	18.037844
39	15.52433
40	18.389513
41	21.488825
42	21.424269
43	24.091774
44	24.419811
45	23.6274
46	16.687395
47	8.640341
48	19.0272
49	16.795944
50	18.971106
51	16.546717
52	16.032917
53	5.826009
54	17.064367
55	18.074112
56	16.559301
57	21.014797
58	19.804651
59	16.129467
60	14.384184
61	19.521442
62	19.127296
63	7.381505
64	19.421148
65	16.177557
66	21.175772
67	17.166609
68	21.122051
69	27.584667
70	26.071423
71	26.130352
72	28.053213
73	20.13868
74	20.029783
75	8.418277
76	20.658054
77	18.299934
78	20.860727
79	19.218262
80	19.262447
81	20.499935
82	21.155584
83	28.832743
84	27.799397
85	27.180307
86	28.415691
87	25.705322
88	27.502438
89	28.391216
90	28.805054
91	14.407799
92	11.119479
93	13.3133335
94	21.274437
95	25.388721
96	20.442322
97	20.107431
98	24.315228
99	24.632235
100	21.986174
101	4.3611207
102	27.303888
103	26.012075
104	23.827574
105	24.48565
106	25.344128
107	23.598454
108	25.874207
109	17.268997
110	28.693995
111	26.597973
112	26.183636
113	28.608364
114	21.08943
115	29.690802
116	29.770985
117	21.981644
118	27.133732
119	12.916122
120	14.139183
121	15.778415
122	14.014946
123	16.096401
124	16.37466
125	12.711955
126	29.26184
127	29.40524
128	27.560535
129	27.74982
130	26.824955
131	26.642023
132	26.663792
133	20.400198
134	28.371374
135	28.30929
136	29.298838
137	28.746307
138	30.046032
139	27.831615
140	19.282164
141	9.269275
142	22.65527
143	22.644938
144	19.730383
