	log_likelihood
0	22.423203
1	17.745192
2	19.034878
3	20.835505
4	21.514788
5	20.16862
6	13.75427
7	18.795443
8	19.443869
9	21.125072
10	15.421928
11	24.019745
12	24.899494
13	23.462936
14	19.41138
15	25.897943
16	10.178206
17	25.476673
18	21.48964
19	26.829319
20	25.123951
21	23.72263
22	25.17183
23	16.653156
24	23.421936
25	18.530796
26	25.219322
27	24.02634
28	19.254595
29	24.656488
30	12.449478
31	21.477032
32	14.988355
33	26.381298
34	21.335766
35	25.827976
36	24.163769
37	16.80279
38	14.009499
39	19.103672
40	21.046946
41	22.61411
42	24.061005
43	23.56255
44	22.384636
45	18.70039
46	12.622989
47	20.807827
48	20.757832
49	23.198055
50	18.722925
51	18.772003
52	3.2166915
53	14.938822
54	17.581127
55	17.79957
56	20.62768
57	20.579453
58	17.8645
59	14.119263
60	20.035557
61	19.906599
62	9.920187
63	20.495407
64	18.157242
65	22.151089
66	19.442326
67	22.561014
68	22.068207
69	20.189068
70	22.287928
71	21.353985
72	19.726084
73	19.209045
74	9.388194
75	19.066174
76	17.760437
77	20.661783
78	20.440598
79	21.38385
80	21.9642
81	22.488308
82	25.754025
83	25.672358
84	24.353312
85	26.68133
86	26.359201
87	26.956135
88	26.754147
89	27.045536
90	14.677912
91	12.142893
92	13.916504
93	19.582584
94	24.494722
95	21.47995
96	17.624546
97	24.518099
98	24.30164
99	21.655918
100	10.834661
101	27.059246
102	26.819952
103	24.65701
104	24.073898
105	26.352406
106	25.667988
107	26.298395
108	19.934763
109	27.116959
110	26.036016
111	25.634441
112	26.785004
113	20.231403
114	27.942484
115	28.075165
116	19.981619
117	25.318548
118	14.190063
119	17.536724
120	17.81622
121	15.060793
122	17.510273
123	18.491674
124	13.727513
125	24.181705
126	24.893118
127	24.44267
128	24.121452
129	24.530994
130	22.75822
131	23.136982
132	14.53815
133	25.150602
134	22.557585
135	24.914581
136	23.224888
137	25.053082
138	22.34435
139	16.752386
140	4.983594
141	16.411263
142	15.557773
143	12.436285
144	14.222605
145	16.458857
146	17.283785
147	18.896242
148	19.677593
149	18.031925
150	5.6773534
151	16.667807
152	6.190916
153	1.8349836
154	13.448491
155	20.19535
156	21.325642
157	18.02978
158	7.4701204
159	18.000538
160	7.984526
161	7.3256783
162	20.922932
163	18.409798
164	17.87992
165	15.274518
166	20.721323
167	21.126944
168	19.548862
169	21.388626
170	20.778326
171	26.808466
172	24.27307
173	18.409235
174	20.99617
175	27.496815
176	26.650518
177	23.677937
178	20.820164
179	23.833054
180	20.200693
181	22.047806
182	18.155308
183	20.771515
184	20.572927
185	20.882675
186	18.900267
187	20.560923
188	18.39594
189	21.436691
190	19.477003
191	19.621662
192	17.626364
193	17.293144
194	19.940306
195	14.136256
196	20.208487
197	17.503044
198	15.580742
199	19.68978
200	18.401014
201	16.435583
202	15.205782
203	21.507294
204	24.76678
205	19.07587
206	9.8845005
207	8.48393
208	10.850458
209	9.224465
210	9.884313
211	21.998318
212	1.7285626
213	24.963833
214	9.006746
215	18.472717
216	10.60908
217	11.409335
218	13.030685
219	11.465627
220	13.864248
221	30.35995
222	28.048914
223	26.157297
224	28.584545
225	26.686243
226	8.114476
227	13.223185
228	23.07441
229	27.332327
230	27.498285
231	26.164206
232	10.607688
233	21.601143
234	13.496202
235	28.744846
236	20.730396
237	23.877789
238	23.978384
239	22.304947
240	20.246067
241	17.703741
242	14.749908
243	15.234861
244	24.51521
245	18.098652
246	21.222347
247	23.231022
248	23.177195
249	19.495094
250	17.219904
251	13.39726
252	17.818928
253	14.735019
254	18.20018
255	17.939407
256	21.41195
257	20.146053
258	20.907162
259	21.486246
260	20.525208
261	20.242233
262	21.404423
263	17.533546
264	21.134941
265	20.90239
266	18.832687
267	7.259787
268	18.42277
269	15.912311
270	20.473957
271	8.248813
272	8.315941
273	18.124783
274	9.215222
275	8.156468
276	19.961317
277	18.724838
278	16.42133
279	20.29311
280	3.1503832
281	-13.485784
282	20.11755
283	19.237131
284	4.133424
285	21.308193
286	20.946766
287	17.700855
288	13.726911
289	13.149574
290	14.89525
291	20.999748
292	21.466673
293	19.150747
294	19.426754
295	17.758045
296	15.807756
297	15.584613
298	20.181658
299	22.843224
300	20.008389
301	20.016293
302	14.803469
303	17.42426
304	12.775121
305	15.354352
306	26.889462
307	29.029232
308	5.627226
309	23.76625
310	27.331152
311	27.76994
312	27.74934
313	27.986897
314	24.458166
315	26.669811
316	27.725132
317	26.457865
318	26.415823
319	26.444763
320	27.092981
321	23.444498
322	25.94411
323	22.514769
324	24.42551
325	22.97894
326	17.651623
327	16.803522
328	15.008023
329	15.613165
330	14.551547
331	18.091248
332	18.455872
333	20.60622
334	22.109863
335	20.909594
336	23.280895
337	23.4262
338	23.601465
339	17.92819
340	8.6996975
341	17.098507
342	17.688097
343	17.946705
344	12.93606
345	20.348993
346	20.06284
347	13.754437
348	14.211723
349	10.79313
350	12.785496
351	10.879471
352	10.59639
353	10.4417515
354	16.858313
355	16.262493
356	15.970144
357	26.144495
358	24.894043
359	26.324057
360	23.049343
361	16.017342
362	11.245014
363	16.166458
364	22.296118
365	14.973898
366	17.2733
367	15.363057
368	14.264928
369	23.035206
370	16.70113
371	23.024845
372	20.170563
373	20.074371
374	26.699152
375	26.47713
376	25.337458
377	26.546356
378	12.4238615
379	26.810165
380	27.783138
381	27.307556
382	22.279837
383	25.073557
384	23.163858
385	23.963749
386	25.719275
387	28.449757
388	29.328873
389	28.681005
390	27.598068
391	28.890675
392	28.502584
393	28.440292
394	28.532797
395	28.97785
396	21.722692
397	24.06273
398	25.017784
399	27.482868
400	28.597086
401	26.08971
402	22.01528
403	17.814693
404	23.311686
405	22.819462
406	24.919033
407	19.998709
408	10.753763
409	19.643635
410	14.8122
411	18.345692
412	13.99795
413	19.502842
414	21.533792
415	19.868319
416	14.006528
417	20.150808
418	25.666622
419	27.244709
420	24.216415
421	22.732014
422	19.414698
423	21.52222
424	19.156027
425	16.419529
426	23.148533
427	23.322475
428	23.393854
429	22.299137
430	21.612278
431	24.147045
432	23.067387
433	22.783936
434	21.874702
435	19.838902
436	20.019087
437	27.855616
438	26.204678
