	log_likelihood
0	24.485785
1	23.194221
2	24.681274
3	27.740244
4	22.78897
5	22.419613
6	17.860638
7	21.359173
8	22.69531
9	23.112158
10	15.74364
11	29.388355
12	31.429886
13	29.849392
14	24.86831
15	33.557228
16	18.825056
17	31.391617
18	29.028255
19	32.676003
20	30.314053
21	29.858923
22	32.42832
23	25.770971
24	32.930042
25	27.033213
26	30.5418
27	29.086689
28	28.314594
29	29.6739
30	19.689001
31	28.973917
32	21.904129
33	28.395681
34	26.49885
35	30.945383
36	29.311985
37	22.682962
38	19.464905
39	21.874012
40	24.65686
41	26.15974
42	27.498245
43	26.77531
44	25.193277
45	16.215319
46	8.073428
47	21.035126
48	25.714756
49	26.291626
50	25.410273
51	25.803507
52	11.552092
53	20.451534
54	21.816387
55	21.012966
56	21.840769
57	24.461676
58	23.033892
59	18.769583
60	23.183218
61	22.443127
62	15.390648
63	23.549194
64	22.504656
65	28.257452
66	26.078985
67	27.776093
68	24.467548
69	24.917358
70	26.222967
71	24.19137
72	23.591854
73	22.006098
74	13.210524
75	23.194515
76	24.028631
77	25.664047
78	24.306608
79	24.783968
80	26.1966
81	26.775274
82	29.531464
83	31.116999
84	26.967152
85	31.56049
86	30.95872
87	31.103268
88	31.672653
89	32.161484
90	13.377179
91	16.641485
92	11.19248
93	24.708624
94	28.664112
95	26.435917
96	20.974007
97	28.065039
98	26.524231
99	24.240211
100	14.553368
101	30.361557
102	29.356365
103	27.612982
104	27.480713
105	29.141682
106	26.766937
107	29.99769
108	25.472017
109	28.147512
110	29.188412
111	28.810461
112	28.038223
113	22.643719
114	28.450665
115	29.99024
116	20.146622
117	27.281153
118	16.018509
119	18.003817
120	19.987604
121	17.130629
122	20.503796
123	19.637125
124	15.426206
125	30.89957
126	29.393866
127	30.433777
128	29.825903
129	29.319622
130	28.87856
131	31.530573
132	22.554028
133	30.680796
134	29.414959
135	29.33642
136	29.432297
137	29.328405
138	26.264828
139	19.124813
140	8.64576
141	22.457973
142	21.450912
143	20.311184
144	22.662506
145	21.517681
146	22.045156
147	24.11706
148	25.648733
149	24.969255
150	10.287581
151	24.457607
152	12.855103
153	2.2017922
154	19.77199
155	25.417849
156	27.514917
157	24.445887
158	14.652797
159	22.145893
160	11.640665
161	11.134959
162	26.829859
163	23.588465
164	22.935226
165	20.857967
166	27.00571
167	27.509207
168	26.392736
169	28.278198
170	24.656637
171	30.297955
172	27.771
173	17.261124
174	26.711567
175	30.666101
176	31.032864
177	29.437551
178	28.724781
179	27.166784
180	28.91126
181	28.774988
182	21.500473
183	26.968353
184	28.227682
185	23.065403
186	23.123978
187	22.527582
188	23.771519
189	25.046698
190	23.433895
191	22.23528
192	21.563528
193	17.318874
194	21.726114
195	18.048628
196	21.977411
197	20.32616
198	19.893606
199	22.822014
200	20.561361
201	18.129086
202	17.44193
203	27.651941
204	29.747295
205	27.15701
206	17.236383
207	13.424059
208	18.000961
209	14.753339
210	17.052862
211	27.22381
212	8.224687
213	30.886364
214	15.066607
215	23.943989
216	16.059351
217	16.947035
218	15.823076
219	13.985593
220	17.275593
221	31.397388
222	26.341446
223	25.952534
224	27.431591
225	29.59299
226	10.035095
227	14.952281
228	27.821392
229	28.36916
230	24.608143
231	24.820156
232	12.239173
233	26.99943
234	17.750559
235	28.282928
236	26.276194
237	27.139685
238	25.835064
239	25.087767
240	24.035442
241	24.5673
242	17.740078
243	20.035904
244	26.038982
245	19.63313
246	22.885824
247	24.745478
248	25.531887
249	22.602152
250	19.82951
251	15.908453
252	22.72041
253	21.268686
254	20.63858
255	19.247005
256	20.730322
257	20.83537
258	22.995308
259	22.39954
260	20.945866
261	21.91795
262	22.727169
263	19.903143
264	23.257933
265	17.888508
266	15.984942
267	14.328229
268	23.685253
269	20.82825
270	23.471033
271	14.281786
272	13.4527025
273	22.530222
274	16.354275
275	15.272467
276	23.957165
277	17.358109
278	16.098564
279	18.466112
280	10.292811
281	4.5021477
282	22.935068
283	23.168356
284	13.6
285	24.702553
286	23.961079
287	21.413584
288	20.337318
289	19.384054
290	22.002985
291	23.752369
292	22.188232
293	23.034758
294	21.542822
295	18.770817
296	21.12774
297	20.421864
298	23.116123
299	26.907398
300	26.970623
301	26.414434
302	17.938274
303	21.297356
304	18.042803
305	19.855072
306	30.475306
307	32.338596
308	10.6626005
309	26.105597
310	31.703238
311	31.176785
312	31.158443
313	33.02494
314	27.337326
315	30.53368
316	30.838572
317	30.668365
318	30.485071
319	30.201527
320	33.966133
321	30.723225
322	30.460169
323	24.257248
324	28.553574
325	32.722115
326	21.118713
327	18.986937
328	18.73987
329	22.88786
330	21.353802
331	22.596584
332	22.913733
333	26.084362
334	28.54922
335	27.8959
336	27.209906
337	28.358185
338	27.277716
339	18.896936
340	9.881699
341	20.66969
342	20.699955
343	25.006115
344	21.09637
345	21.839907
346	23.022312
347	16.127151
348	16.834667
349	15.023
350	16.941721
351	19.881739
352	14.582064
353	14.212656
354	18.836708
355	15.643552
356	14.161107
357	23.269104
358	23.301823
359	26.333826
360	24.853706
361	15.893499
362	8.563542
363	17.624676
364	25.503529
365	18.210163
366	19.999065
367	16.970413
368	16.086176
369	27.726053
370	16.693542
371	27.081738
372	21.876638
373	23.645193
374	28.023167
375	31.533642
376	27.217566
377	30.652676
378	14.709165
379	30.565374
380	33.606586
381	33.2154
382	20.497091
383	28.259394
384	25.27295
385	22.582901
386	28.43047
387	33.13026
388	32.618813
389	28.06455
390	30.301865
391	32.00256
392	31.432032
393	33.40926
394	32.523052
395	34.267986
396	23.814814
397	24.415249
398	28.001972
399	32.283073
400	33.94074
401	27.021038
402	18.020878
403	22.346931
404	24.35176
405	27.432087
406	27.786694
407	24.29536
408	12.690542
409	23.868107
410	16.163855
411	20.131756
412	13.482729
413	24.277502
414	26.894943
415	21.136105
416	17.672403
417	23.88158
418	31.059055
419	31.340841
420	25.433382
421	25.187479
422	19.563963
423	26.299246
424	17.879826
425	17.449673
426	26.198261
427	28.833063
428	25.342133
429	25.587875
430	20.73711
431	26.82138
432	26.943531
433	27.835712
434	26.83996
435	25.227676
436	23.464441
437	31.295752
438	26.576452
439	31.699163
440	31.607899
441	32.091236
442	29.35558
443	27.899883
444	30.586542
445	30.966663
446	31.98804
447	30.844763
448	26.509527
449	29.12464
450	29.01892
451	27.66448
452	26.35242
453	25.614264
454	24.99621
455	22.76498
456	25.032633
457	26.529821
458	26.413593
459	26.087597
460	25.80195
461	25.095581
462	25.471548
463	14.86365
464	22.13161
465	24.399477
466	17.193449
467	22.340258
468	23.749563
469	23.722347
470	22.862566
471	18.919727
472	25.710873
473	26.479137
474	27.771109
475	25.269144
476	30.340221
477	26.019114
478	22.119223
479	19.232609
480	18.568176
481	17.06766
482	16.36414
483	18.626947
484	23.229801
485	21.296494
486	20.659119
487	17.692099
488	13.65446
489	20.77275
490	17.822163
491	27.944386
492	26.624165
493	13.216413
494	25.72898
495	30.675556
496	28.390417
497	29.267069
498	31.014668
499	20.959019
500	23.846266
501	20.607998
502	21.912521
503	24.765293
504	20.11369
505	18.785564
506	20.775227
507	21.204565
508	23.16389
509	15.640724
510	13.078135
511	8.657312
512	11.588575
513	12.711718
514	13.196027
515	12.834831
516	20.094452
517	17.3677
518	22.48362
519	21.067928
520	14.382545
521	18.807749
522	22.187218
523	24.134136
524	22.78032
525	22.460169
526	13.226753
527	7.075862
528	16.594486
529	20.386276
530	21.239779
531	17.565289
532	12.523412
533	18.800882
534	19.168615
535	22.625359
536	20.710814
537	21.716333
538	17.998585
539	18.506466
540	18.209682
541	17.109821
542	17.867014
543	18.0275
544	12.347225
545	19.091599
546	18.487366
547	21.122498
548	22.333172
549	20.396639
550	23.994778
551	25.02187
552	24.661732
553	23.73909
554	24.130457
555	23.983547
556	20.738985
557	20.236704
558	22.262806
559	21.952269
560	17.194775
561	18.374968
562	19.28044
563	18.737474
564	22.121456
565	17.284847
566	14.032248
567	21.62142
568	18.214977
569	18.645119
570	18.155731
571	18.112812
572	12.715116
573	20.00838
574	20.20207
575	13.391261
576	19.561453
577	16.414623
578	18.9664
579	18.732065
580	12.726438
581	18.208643
582	19.484426
583	20.181715
584	19.961075
585	19.267185
586	20.976696
587	19.516289
588	19.154629
589	16.54689
590	21.805704
591	19.987925
592	20.31484
593	23.572014
594	18.485006
595	21.006954
596	6.0647964
597	22.9275
598	19.208862
599	17.21057
600	16.776865
601	15.558462
602	16.62395
603	14.975162
604	2.5958023
605	7.57858
606	14.947878
607	15.120578
608	16.791714
609	16.637793
610	13.6365385
611	15.886627
612	13.51931
613	13.553947
614	21.509466
615	16.386326
616	20.258274
617	19.539692
618	19.073751
619	17.148083
620	16.118998
621	10.994704
622	22.446356
623	19.552807
624	22.010511
625	19.854261
626	20.41074
627	16.149242
628	17.464092
629	15.831322
630	17.67693
631	18.82027
632	17.109772
633	17.674313
634	16.751453
635	21.265844
636	5.9552994
637	17.89272
638	20.777445
639	20.88116
640	19.852095
641	21.514599
642	19.458406
643	21.37198
644	20.922165
645	21.937677
646	20.900288
647	20.486893
648	21.481272
649	18.995483
650	19.319174
651	18.50803
652	19.634384
653	20.655918
654	19.870918
655	18.83675
656	17.901234
657	18.523502
658	18.179743
659	18.50645
660	20.961323
661	20.74052
662	21.436684
663	21.717764
664	20.78545
665	12.924797
666	22.558903
667	16.480602
668	17.88203
669	15.959821
670	13.169983
671	16.014008
672	19.22704
673	18.739582
674	18.276278
675	18.232862
