	log_likelihood
0	8.755259
1	8.658783
2	8.254379
3	7.348651
4	6.7051477
5	8.84464
6	8.621483
7	7.9678755
8	7.052536
9	8.169108
10	8.35849
11	6.7414474
12	3.9957366
13	5.895652
14	6.563722
15	8.426206
16	6.7157607
17	7.058098
18	5.7168827
19	6.72569
20	3.8955727
21	3.9324417
22	5.6747046
23	6.8959093
24	6.4971037
25	8.423391
26	8.383699
27	8.073421
28	8.26557
29	5.9277697
30	4.7774963
31	5.6352644
32	8.431474
33	7.7606444
34	6.460707
35	6.9802613
36	8.479344
37	8.632063
38	8.009629
39	3.2555473
40	7.213233
41	3.817902
42	4.994579
43	7.7093124
44	6.714873
45	8.460143
46	7.189781
47	8.945046
48	6.228926
49	5.9511995
50	7.8070617
51	7.164379
52	7.9370546
53	7.222974
54	5.419736
55	4.9893727
56	8.202262
57	2.6900377
58	6.559839
59	5.360877
60	3.663409
61	7.4833803
62	4.229318
63	6.9781294
64	6.068295
65	5.7608976
66	4.7780113
67	7.858308
68	5.9651885
69	7.1787577
70	6.9818964
71	5.241713
72	8.750093
73	8.267234
74	5.8832912
75	7.41405
76	7.982685
77	6.683627
78	7.99839
79	7.148271
80	7.470019
81	5.107269
82	3.7263665
83	1.5487598
84	8.748354
85	5.2362566
86	5.825618
87	7.4405107
88	6.47722
89	7.790448
90	7.6373625
91	6.4657516
92	7.9996386
93	6.0312524
94	7.527415
95	8.301028
96	4.572051
97	7.7506332
98	5.3784733
99	8.080356
100	6.209285
101	7.8240232
102	7.1880836
103	6.19308
104	-3.5711422
105	5.14542
106	3.284449
107	4.8074512
108	5.4217844
109	7.163678
110	6.450244
111	6.263893
112	-1.5130383
113	5.8774915
114	7.7737656
115	3.6881738
116	0.6502403
117	7.1997476
118	6.8446565
119	3.8184967
120	5.200041
121	4.833008
122	5.5207443
123	5.0806
124	5.05472
125	7.542943
126	7.795935
127	5.6956763
128	4.7406764
129	2.5216084
130	7.973405
131	8.754224
132	4.7424927
133	5.30285
134	4.5930266
135	7.130913
136	5.6222105
137	6.2658644
138	7.545676
139	4.7456236
140	8.095225
141	7.142602
142	6.879995
143	5.823259
144	6.411476
145	7.1064787
146	3.5667782
147	7.729097
148	5.4197674
149	6.2155757
150	6.481172
151	7.296469
152	5.1623898
153	3.2182994
154	6.4188094
155	4.969207
156	4.834142
157	-0.52763957
158	2.4409695
159	5.051791
160	4.231168
161	5.8214407
162	4.632558
163	4.4408364
164	1.0955628
165	5.511336
166	4.436911
167	5.522856
168	5.9547777
169	4.6845927
170	6.1308684
171	4.850602
172	5.297703
173	6.794734
174	5.4186277
175	5.6508784
176	4.6028404
177	5.124158
178	4.808173
179	6.344589
180	4.172798
181	6.134844
182	2.6437075
183	6.4145613
184	5.2924933
185	7.397538
186	5.4081445
187	6.23724
188	5.174056
189	3.8250556
190	7.1355867
