	log_likelihood
0	9.459116
1	10.03441
2	9.653689
3	6.4738083
4	8.695724
5	9.2399235
6	9.086514
7	7.9597616
8	8.087688
9	8.9917965
10	8.205095
11	5.137162
12	5.0622377
13	5.7723303
14	7.0260253
15	8.619552
16	6.432985
17	8.84487
18	6.290188
19	6.8758607
20	6.305583
21	2.5139148
22	5.8502812
23	8.874832
24	5.680935
25	8.649098
26	8.746336
27	9.4707365
28	9.424751
29	6.586174
30	6.969523
31	7.5789824
32	9.761805
33	7.164894
34	6.4725814
35	7.7166543
36	8.930091
37	9.159346
38	8.089328
39	7.654405
40	9.36627
41	2.60142
42	3.7083538
43	7.6153183
44	7.672414
45	10.266011
46	8.82249
47	9.241542
48	5.112796
49	6.0102096
50	7.218651
51	6.0192995
52	7.6369705
53	7.740214
54	5.019059
55	4.452906
56	7.1840467
57	5.052905
58	5.9322085
59	6.7618384
60	1.4422735
61	8.522939
62	4.934053
63	7.417067
64	7.0922203
65	5.6988373
66	2.9205515
67	8.003965
68	3.7001739
69	8.0980625
70	5.744869
71	6.5510817
72	8.389523
73	7.7951064
74	5.115573
75	5.7021933
76	7.846637
77	6.0194154
78	7.870247
79	7.582837
80	7.867814
81	5.9036093
82	6.2197905
83	2.0662732
84	7.996267
85	3.3107696
86	6.9925385
87	7.597767
88	6.792372
89	8.226866
90	7.309035
91	5.7703295
92	7.9210105
93	6.8996835
94	8.46689
95	9.050458
96	2.9419098
97	8.4787245
98	4.757866
99	4.2273436
100	5.0233216
101	4.9460907
102	4.7520676
103	4.831797
104	1.1207892
105	4.552373
106	1.6146576
107	4.0627656
108	4.408526
109	4.2131014
110	4.7951317
111	2.8609755
112	2.2670708
113	4.2455497
114	5.5136824
115	2.9663093
116	3.98632
117	2.2502613
118	5.5064497
119	3.5053406
120	3.66744
121	5.39956
122	5.686794
123	4.3443055
124	5.8662543
125	5.8211823
126	3.7589855
127	3.7236977
128	4.5494475
129	2.3763723
130	3.2435017
131	7.238076
132	1.8394226
133	3.8747616
134	4.5758524
135	5.3383512
136	5.271536
137	4.5401144
138	4.7786956
139	3.4828339
140	4.4073944
141	6.0293093
142	5.492118
143	3.4978726
144	3.612146
145	4.822729
146	3.6923878
147	5.2612085
148	9.234838
149	9.257128
150	8.226643
151	9.085345
152	2.98669
153	7.768463
154	8.723162
155	7.8059525
156	7.443721
157	5.8163366
158	8.3989315
159	7.8371177
160	5.6360083
161	3.1742053
162	5.5652113
163	4.7603807
164	7.4340773
165	3.443718
166	6.7836924
167	4.404076
168	4.920554
169	7.6063704
170	2.6288261
171	5.487136
172	7.8451104
173	4.7282863
174	7.441045
175	7.5696373
176	8.002033
177	8.053931
178	3.9181705
179	6.7574654
180	6.885148
181	8.781303
182	8.040051
183	5.091326
184	7.2167616
185	8.363634
186	8.366114
187	7.263257
188	8.621106
189	1.4240974
190	1.1038164
191	7.848689
192	7.7804174
193	9.153465
194	6.5733047
195	8.94036
