	z_coordinate_0	z_coordinate_1
0	-1.8774973	-3.384845
1	-1.2158961	-3.9867725
2	-1.687084	-4.104364
3	0.72259563	-3.1957982
4	1.9481549	-2.3756518
5	-0.48546576	-4.0547614
6	-0.21923617	-3.1558223
7	-2.4342246	-4.566219
8	-1.542919	-3.3987443
9	1.2885427	-2.4530919
10	-0.37845382	-3.604597
11	-1.9054114	-3.6726496
12	-2.041854	-5.082697
13	2.4607573	-2.3355274
14	3.557169	-2.5344374
15	2.0775247	-2.5143526
16	0.36430448	-2.8993738
17	1.6744615	-2.0755045
18	1.5841703	-2.8831482
19	0.011946693	-2.2850142
20	1.2164648	-2.7512774
21	0.59678805	-4.3967795
22	-0.6709179	-2.5466743
23	-0.47667968	-3.4448373
24	-1.8782331	-3.0620778
25	-0.23352051	-2.924947
26	0.37812838	-2.7269933
27	-0.048088804	-2.7834501
28	-1.2926685	-3.8260832
29	-1.6138483	-3.552029
30	0.12551609	-2.2298722
31	2.5623004	-3.0302782
32	2.9487824	-2.7219946
33	-1.5455562	-3.352981
34	-1.0308416	-3.2859375
35	0.6216517	-2.3143353
36	0.63359493	-3.515255
37	-2.0982308	-4.638338
38	-0.1503892	-2.93781
39	0.32537097	-3.1726215
40	-4.134143	-4.103774
41	-1.4012767	-4.6584926
42	0.20412382	-2.581287
43	1.4569756	-2.617838
44	-1.9502678	-3.566063
45	1.5283736	-2.916541
46	-1.2971661	-4.174173
47	1.2538577	-2.589907
48	-0.6549541	-3.196813
49	1.2343066	-0.019519478
50	0.09804391	0.56815124
51	1.3368381	0.34358197
52	-3.1672444	0.2005851
53	0.19712585	0.63196915
54	-2.0478745	0.6814598
55	0.15301758	1.152535
56	-4.4931087	-0.85527015
57	0.039415054	0.024834648
58	-3.5977807	0.9401679
59	-4.7215157	-1.1347549
60	-1.4686308	1.1681061
61	-2.2993636	-0.87265635
62	-0.86153334	0.7017412
63	-2.3772652	0.5745014
64	0.43533877	0.047282502
65	-2.0414715	1.5509874
66	-2.0951948	-0.441946
67	-0.39093632	0.9203962
68	-2.8467824	-0.42707708
69	-0.60761	2.51868
70	-1.3249335	0.13781969
71	-0.003024757	1.0021347
72	-1.1359776	0.11838691
73	-0.5105619	0.020524621
74	0.15967909	0.13762937
75	0.75429785	0.2892562
76	1.3156544	1.1252246
77	-1.1273909	1.1279855
78	-2.5764322	-0.7299025
79	-3.2161722	-0.5221853
80	-3.2177637	-0.8449371
81	-2.129817	-0.019132942
82	-0.4997651	1.7672156
83	-2.4629622	1.670359
84	-0.48640448	1.5793287
85	0.7998125	0.3875609
86	-0.6733363	0.24122058
87	-2.1061592	0.76746774
88	-3.074292	0.35079193
89	-2.8080974	0.24439543
90	-0.85614765	0.6521944
91	-2.2297282	-0.0762617
92	-4.4561534	-0.9281713
93	-2.531334	0.5524903
94	-1.824354	0.37895173
95	-2.029963	0.64030653
96	-0.9149217	0.15529285
97	-4.138382	-0.5181428
98	-2.1899233	0.54271567
99	2.5197556	4.438336
100	-0.496988	3.0659487
101	3.0589437	2.0739975
102	0.7876293	2.1615243
103	2.0079281	3.2654881
104	4.2019114	1.575662
105	-3.617411	2.1428838
106	3.1773002	1.1406127
107	1.6460886	1.6272417
108	4.397409	3.566226
109	1.5545636	2.6282017
110	0.93688595	2.3316023
111	2.3059855	2.5354328
112	-0.56802374	3.4432995
113	0.3655671	4.499707
114	1.9638572	3.7433443
115	1.2618692	1.8881232
116	5.155569	1.8815305
117	4.393741	1.9149122
118	-0.5091001	1.2875115
119	3.0542367	3.1649952
120	-0.902434	3.501565
121	4.1556973	1.3517139
122	0.36229527	2.0676029
123	2.4909317	2.7857995
124	3.053283	1.1239215
125	0.06739835	2.2009995
126	-0.08700803	2.3453033
127	1.4082373	3.0227726
128	2.5376303	0.71486115
129	3.3199997	1.2538509
130	5.0344095	1.1671728
131	1.5568942	3.329543
132	0.055116497	1.0006517
133	-0.21861315	1.1251624
134	4.357112	1.8885106
135	2.274934	4.1952815
136	1.0889099	2.0314152
137	-0.418965	2.445022
138	2.543451	2.3954396
139	2.7217345	3.6715295
140	2.6959722	3.095487
141	-0.496988	3.0659487
142	2.9601111	3.3009229
143	3.1467218	4.046787
144	2.2837143	3.3158765
145	0.56508404	2.4481065
146	1.4216447	2.5831556
147	1.7643155	3.9980464
148	-0.47468126	2.5968373
