	log_likelihood
0	202.65895
1	306.51764
2	295.84418
3	335.33136
4	310.71268
5	307.07037
6	289.0604
7	314.10083
8	297.12506
9	308.11633
10	304.16583
11	298.07526
12	119.51316
13	338.12332
14	336.0464
15	306.81113
16	321.0977
17	313.73007
18	328.6724
19	308.13428
20	341.6311
21	315.8144
22	213.32259
23	310.2124
24	291.76376
25	271.00372
26	249.83904
27	304.67847
28	241.51457
29	307.19858
30	340.93
31	339.80954
32	337.98087
33	308.69196
34	305.70627
35	281.3454
36	347.33392
37	280.5846
38	323.5698
39	325.38177
40	307.79865
41	308.75848
42	268.4938
43	322.528
44	240.18437
45	338.38654
46	343.56122
47	303.00122
48	289.1364
49	315.42593
50	333.6089
51	310.72455
52	338.58
53	305.1536
54	319.7554
55	333.14337
56	283.0417
57	317.9402
58	322.95392
59	289.62592
60	297.3431
61	307.01068
62	296.21997
63	275.14188
64	226.32498
65	277.6841
66	316.27472
67	336.77075
68	295.69516
69	303.34488
70	265.77002
71	296.54523
72	328.88315
73	317.05548
74	312.26996
75	257.91528
76	228.4183
77	305.69476
78	328.90366
79	315.8609
80	318.9817
81	327.468
82	243.65079
83	281.60098
84	316.2292
85	316.48608
86	226.4419
87	234.3468
88	325.48837
89	335.21906
90	336.32773
91	318.2714
92	316.62833
93	228.07661
94	281.79608
95	329.1713
96	240.28581
97	327.64886
98	268.73627
99	327.2412
100	306.82275
101	322.80426
102	280.957
103	327.55856
104	314.8248
105	294.0633
106	306.4728
107	310.24493
108	308.26907
109	303.23483
110	335.96347
111	327.8777
112	257.17548
113	287.31158
114	273.5958
115	325.38297
116	312.81662
117	307.19537
118	252.74698
119	302.49994
120	341.5397
121	278.00122
122	288.164
123	224.9725
124	308.38272
125	321.6999
126	272.9257
127	250.76358
128	286.6814
129	308.64886
130	244.06697
131	328.67392
132	223.25598
133	300.43158
134	308.8633
135	301.0019
136	304.96173
137	340.76285
138	303.77725
139	299.74713
140	276.76712
141	292.14404
142	289.98547
143	299.01868
144	310.03693
145	291.7385
146	291.76297
147	207.28088
148	256.1837
149	303.40778
150	304.0046
151	312.51123
152	320.4503
153	301.68222
154	297.36118
155	317.2933
156	329.7332
157	325.85748
158	286.52597
159	211.7356
160	323.6482
161	297.82547
162	300.7611
163	301.08926
164	306.81406
165	174.20535
166	271.62616
167	225.31787
168	309.71906
169	287.1386
170	296.5351
171	330.57468
172	328.34235
173	319.35864
174	324.84955
175	235.10686
176	332.04437
177	220.4982
178	288.95435
179	195.7795
180	231.4001
181	220.7354
182	297.58093
183	319.39273
184	260.73138
185	277.2727
186	318.20184
187	308.3169
188	293.3853
189	250.93613
190	289.46356
191	299.66428
192	297.7513
193	305.87286
194	238.771
195	301.50452
196	176.25092
197	309.1552
198	303.92462
199	337.76575
200	279.64288
201	306.03094
202	301.7163
203	317.7744
204	297.3399
205	296.82983
206	291.1662
207	241.4478
208	284.5346
209	224.81787
210	302.3686
211	299.5672
212	291.57123
213	304.48682
214	85.6381
215	312.37152
216	107.30239
217	313.17786
218	272.0814
219	266.89078
220	323.30737
221	335.8012
222	325.89633
223	301.017
224	323.26312
225	230.35709
226	319.8669
227	306.57043
228	322.3874
229	304.67285
230	322.78052
231	293.50888
232	304.83917
233	187.42203
234	287.351
235	318.92566
236	304.948
237	251.4974
238	309.4569
239	264.36395
240	265.16016
241	316.3365
242	330.53632
243	323.3794
244	313.78748
245	275.66122
246	320.80023
247	304.89536
248	311.43448
249	316.20416
250	330.35016
251	325.86914
252	292.0773
253	304.7853
254	316.87073
255	330.17426
256	265.1421
257	234.43661
258	323.07404
259	303.6017
260	344.67163
261	326.71887
262	288.8293
263	330.65692
264	286.0947
265	320.51657
266	286.48053
267	290.6093
268	287.4167
269	231.83064
270	319.24426
271	241.06355
272	317.1226
273	290.1148
274	326.247
275	289.11078
276	327.65607
277	278.41193
278	279.80954
279	306.58652
280	336.87247
281	309.2936
282	235.93506
283	329.16806
284	271.1289
285	319.67023
