	z_coordinate_0	z_coordinate_1
0	-6.0300417	-0.6065142
1	-0.89554936	5.971852
2	-4.2341404	-5.3010697
3	2.8427997	6.8035483
4	-4.668601	-1.635685
5	-1.1477435	5.844821
6	-5.048021	7.6389318
7	-0.55133456	6.6810923
8	-0.8574281	5.28507
9	-6.277772	1.4680556
10	-1.0131594	5.994719
11	2.4124732	-1.6094292
12	-10.769503	2.3097403
13	-4.4384837	1.3718685
14	-6.376908	1.3827316
15	-4.4634695	1.8738036
16	-1.06599	5.336835
17	-7.298453	1.9763068
18	2.9732423	6.536352
19	2.1713915	0.28516603
20	-1.4380437	5.3514185
21	0.47761202	-0.02497673
22	1.9189715	0.3376049
23	-6.975293	0.83708227
24	-5.227994	7.715511
25	-0.71732384	6.806583
26	-11.097378	2.0681477
27	-6.036619	9.183487
28	-5.7301097	0.9575861
29	-0.6082116	5.1680727
30	-0.8344803	3.088941
31	1.7856756	4.484679
32	2.5422802	-2.0224981
33	-4.229539	-7.322578
34	-10.284461	2.5308495
35	0.45691738	3.4668233
36	-6.825223	1.4365616
37	-7.2265787	-1.259892
38	-6.965317	-0.906459
39	2.4158325	4.56244
40	5.0202003	-0.30292556
41	-4.3240676	-1.1847843
42	-0.5414648	3.4667125
43	-1.0208569	5.9864326
44	-0.43429565	3.4524195
45	-0.31319472	3.4361725
46	-7.2496777	-1.525234
47	-5.7010016	-0.6663296
48	-6.8743486	-0.81365186
49	3.3743777	4.595958
50	0.9279199	7.9827876
51	-4.292959	1.3577788
52	-7.0275764	-0.8373705
53	-0.7133676	6.1366177
54	-1.0786306	2.6640744
55	-1.1821182	2.6844285
56	-0.41192603	3.9184334
57	-5.704175	-0.7366191
58	-10.932106	2.22793
59	-0.8734837	5.8188224
60	1.0986571	4.193712
61	2.3079534	7.0329947
62	-5.202732	7.580638
63	-5.419292	0.51277137
64	2.149312	0.5927561
65	-4.8412213	-1.2236378
66	-1.2820687	6.0031786
67	-5.604912	0.45918423
68	1.993909	4.2958813
69	2.1669512	0.33308828
70	-1.2418503	3.272108
71	2.7903605	-1.3451381
72	-4.396849	1.3145131
73	-4.6515417	-1.5211663
74	-6.038082	8.747339
75	2.578854	0.26280504
76	-4.9943433	7.194117
77	2.5696602	-1.3872659
78	-1.1545608	6.610757
79	-0.7499571	3.0277724
80	-6.4910946	1.4073735
81	-5.475771	8.95737
82	-4.3571157	-1.0217007
83	-5.544866	-2.2653644
84	-0.038936384	6.735408
85	-4.923235	7.0679812
86	-4.460565	1.4037352
87	-4.184262	-1.233224
88	-5.3445253	7.5347877
89	2.8293161	0.21849626
90	-0.82385975	8.965591
91	-7.55237	-5.8971925
92	-4.170109	0.93411833
93	3.4436507	-0.9070501
94	-4.3204103	-1.632089
95	-6.3369603	6.2012076
96	-0.49436367	6.88755
97	-5.8652234	7.3596687
98	0.22391595	4.090469
99	1.7081001	3.5240076
100	-6.758455	0.92739874
101	-5.6539445	9.4454365
102	-0.8865098	6.702152
103	-4.977501	-1.7546904
104	-6.3471437	8.676559
105	-4.206348	-6.366921
106	-5.752009	0.9499565
107	-5.72703	-0.57532907
108	-4.1531124	-5.240295
109	-5.2499733	7.647232
110	-6.6703434	1.5148983
111	-1.4502193	5.218634
112	-0.92386925	5.9633904
113	-5.7779236	1.3937857
114	1.7854345	4.4233317
115	1.5846927	4.1118116
116	-5.605597	0.9721115
117	-4.2315736	-6.3714533
118	-3.4867191	-0.29951474
119	-0.72449565	2.5342052
120	-4.933473	-6.374684
121	-6.815053	-0.6586233
122	-5.6526413	1.3616143
123	-5.4674597	0.93360776
124	-1.2424815	5.3443723
125	-7.0405893	1.4471651
126	-5.0481496	-1.5023459
127	-4.890919	-5.8375325
128	-6.785466	1.4668202
129	-4.4753485	0.8020249
130	-1.267166	6.0253863
131	-1.3238224	6.021139
132	-5.707533	0.9044234
133	-5.556915	0.4710705
134	-10.277121	2.615813
135	-5.383389	7.0813203
136	5.5999084	1.5166361
137	3.9554186	1.0560582
138	-6.8688803	-0.80735546
139	2.828423	6.715065
140	-4.413588	1.2861872
141	-5.931274	0.30961195
142	-4.75541	2.3630903
143	-0.09304373	2.7479873
144	-4.4624763	1.4020984
145	-6.914862	1.8133641
146	-1.0435749	6.6637144
147	-0.95007837	6.711172
148	0.040702913	2.2939153
149	-3.731182	0.016880892
150	1.605915	3.6800056
151	-5.170818	-1.7417648
152	-4.370122	1.348985
153	-3.9546437	0.1524843
154	-0.97044885	6.660926
155	-1.4697458	6.0239387
156	1.0318401	8.382326
157	-0.39640576	2.9341974
158	2.0320458	6.6550264
159	-5.9340634	0.91025984
160	-1.3861119	6.000275
161	-0.9351996	9.125728
162	-0.9351996	9.125728
163	5.95452	-0.3842564
164	4.9085093	-0.4643113
165	-3.355935	-1.656259
166	3.8812685	4.7119594
167	-0.40810463	-0.31249943
168	0.3931184	-0.26360717
169	1.9969193	6.609536
170	2.5827947	4.516732
171	0.8337483	3.845924
172	4.8830395	-0.48360616
173	4.8334565	-0.30132893
174	-0.38739935	-0.6771968
175	-0.5612423	6.691427
176	4.8120465	-0.2473383
177	6.377004	-0.10933677
178	3.8461204	1.0325005
179	-3.2669644	-1.3326766
180	-5.766975	-0.7580238
181	1.7797313	4.3818407
182	3.9046364	4.964477
183	-1.0065407	2.4144294
184	3.0749736	0.41053322
185	4.893513	-0.22933978
186	1.1340798	6.705619
187	-1.2358296	2.6462226
188	-4.0168815	-5.5723925
189	4.8141694	-0.72082114
190	3.5585518	6.5985293
191	4.8078775	-0.42531723
192	1.680831	4.209868
193	5.0443997	0.22516018
194	1.1560808	6.4569163
195	-7.017698	6.463833
196	3.9625926	1.011796
197	-0.3173008	2.1257272
198	-1.1167178	2.4959044
199	4.862864	-0.30061987
200	3.5748754	-0.8415294
201	0.39806053	-0.13814989
202	-3.1717534	-1.5759062
203	2.9345455	0.2737212
204	4.816111	-0.4714985
205	-3.2575927	-1.3013796
206	0.9267625	8.120519
207	3.0092626	0.25344795
208	1.8670609	4.404141
209	3.9652028	1.0790864
