	log_likelihood
0	16.220383
1	19.335424
2	10.822705
3	10.914099
4	19.950436
5	20.645887
6	8.368103
7	11.826373
8	16.254429
9	19.24081
10	21.729902
11	9.043879
12	4.1857123
13	20.147457
14	20.310612
15	5.04814
16	14.201094
17	2.5849807
18	16.405117
19	15.799955
20	21.464449
21	4.889453
22	15.232138
23	10.174549
24	10.9062605
25	13.590155
26	3.9987922
27	6.8399405
28	15.097896
29	10.777739
30	20.391163
31	5.5658336
32	5.8048143
33	-2.6742177
34	4.088861
35	13.699678
36	15.173999
37	16.347492
38	11.039277
39	14.279798
40	10.138631
41	19.756712
42	14.850805
43	21.405035
44	18.615814
45	19.041876
46	7.6376677
47	18.7121
48	20.428593
49	14.474325
50	11.972935
51	16.841648
52	19.743847
53	14.143402
54	20.701296
55	21.034204
56	11.353206
57	14.186203
58	0.47739416
59	15.564703
60	9.313291
61	10.769646
62	10.93926
63	13.326307
64	11.145929
65	17.187399
66	24.486887
67	19.815628
68	18.717358
69	11.494618
70	16.76302
71	12.810518
72	20.739502
73	19.426617
74	7.4473634
75	14.995712
76	9.200335
77	14.467239
78	20.913227
79	19.92741
80	14.155985
81	5.193509
82	13.446401
83	2.785928
84	7.9134765
85	6.075864
86	19.246082
87	15.48009
88	4.1169066
89	17.68772
90	14.844694
91	-8.050527
92	17.993643
93	15.787471
94	17.056793
95	0.13097376
96	8.465221
97	3.7718258
98	5.2755294
99	5.9165535
100	9.830131
101	2.20643
102	21.441984
103	10.381286
104	3.5273404
105	17.586151
106	22.595089
107	18.751234
108	8.633424
109	2.3981621
110	11.540668
111	19.213972
112	21.65511
113	21.283459
114	14.657492
115	18.090143
116	21.722391
117	17.745964
118	10.464643
119	18.186026
120	-3.9767451
121	20.207172
122	18.10277
123	17.973066
124	20.147455
125	11.987495
126	14.777194
127	-4.0138755
128	11.236174
129	20.45219
130	22.465202
131	22.323782
132	22.943356
133	22.172922
134	-2.2032332
135	9.078964
136	5.81164
137	11.917036
138	21.282202
139	9.027992
140	19.441326
141	8.9315
142	3.4213097
143	15.271298
144	15.871158
145	13.146167
146	22.678827
147	19.14034
148	6.07696
149	11.936252
150	16.621052
151	10.466161
152	18.660715
153	18.19112
154	21.371233
155	22.479883
156	11.247008
157	17.122824
158	6.6772623
159	20.399693
160	21.291681
161	13.073671
162	13.081396
163	7.149755
164	16.719475
165	9.457343
166	18.209316
167	5.3388495
168	1.7164272
169	10.328977
170	15.68175
171	7.6840544
172	18.21983
173	13.968801
174	3.0849252
175	15.121439
176	15.623474
177	11.541026
