	z_coordinate_0	z_coordinate_1
0	-3.583207	3.3917162
1	-4.6183796	-4.716749
2	4.9075274	2.6440477
3	-0.59669065	-9.454348
4	-2.0494535	2.4536853
5	-4.8437467	-4.8109765
6	-1.1330872	-2.1081583
7	-3.7464101	-3.6881287
8	-4.89865	-6.159004
9	-5.9677415	2.3325837
10	-4.6231694	-4.694084
11	2.4316227	-1.1954287
12	-5.3090415	7.1326737
13	-3.9330823	0.7240431
14	-5.9899564	2.5140796
15	-3.0282228	0.48542482
16	-4.8676324	-5.9780684
17	-6.7755876	3.4062183
18	0.006419299	-8.763891
19	3.1995826	-0.37808907
20	-4.989453	-5.9408827
21	8.423461	0.80676323
22	2.7562015	-0.4773199
23	-5.707695	3.1145127
24	-1.0181968	-2.1286137
25	-4.128946	-3.6632233
26	-5.148548	7.164356
27	-0.20348687	-2.2601526
28	-5.3959312	1.644441
29	-5.2061048	-6.8572474
30	-2.6644585	-6.1813574
31	-0.015282782	-5.5048876
32	2.6548808	-0.92274547
33	1.7931333	3.0549788
34	-5.6268897	6.731391
35	-1.7520797	-4.930904
36	-6.163382	3.0245256
37	-4.3453097	4.4288116
38	-4.388679	4.304595
39	-0.5777929	-6.351312
40	6.2894883	-2.5491486
41	-2.0473573	1.9523079
42	-2.215419	-5.148326
43	-4.625319	-4.7857876
44	-2.2070303	-5.1396227
45	-2.1751916	-5.151114
46	-4.250365	5.0304804
47	-3.5315185	3.0551918
48	-4.114703	4.15454
49	0.2813743	-7.650752
50	1.5433	-4.5314207
51	-4.283187	0.60034114
52	-4.2022886	4.274579
53	-4.568815	-4.660167
54	-3.1026332	-7.2502995
55	-3.128924	-7.2343884
56	-2.092807	-4.4994154
57	-3.7344615	2.9597733
58	-5.305657	7.2251043
59	-4.8583536	-5.005736
60	-0.9020708	-5.1475954
61	-0.88737446	-8.411373
62	-1.0725664	-2.3843458
63	-5.0313544	1.748387
64	3.0250685	-1.3078436
65	-2.313081	2.466931
66	-4.7069983	-4.6274815
67	-4.7896867	2.062693
68	0.09353733	-5.222776
69	3.1410186	-0.66760397
70	-2.8087227	-6.0306664
71	5.5220113	-0.35347992
72	-4.235001	0.6433052
73	-2.0671363	2.366981
74	-0.32342884	-2.3416557
75	4.083463	-0.37184298
76	-1.1488562	-1.9270772
77	2.8939054	-1.291041
78	-4.2039266	-3.8507564
79	-2.6156971	-6.212288
80	-6.082332	2.44802
81	-0.20357081	-2.367795
82	-2.1740992	1.8954592
83	-2.2031124	3.318279
84	-3.3896196	-3.8210762
85	-1.1186763	-1.9261826
86	-3.9119208	0.733283
87	-1.9896145	1.7909701
88	-0.95059866	-2.0466444
89	4.921128	-0.5148151
90	-2.7039428	-2.601755
91	8.9986925	4.3485055
92	-3.8002079	0.63391846
93	5.9409347	-0.7878983
94	-1.8354104	2.0065718
95	0.10365884	-1.5495354
96	-3.8240607	-3.6370847
97	-0.9751387	-2.1370494
98	-1.8240943	-3.990379
99	0.15152848	-4.1331472
100	-5.5677776	2.8389866
101	-0.11702828	-2.2720716
102	-4.1037507	-3.8105457
103	-2.2570074	2.2540243
104	-0.10848686	-2.3076217
105	4.3046403	3.5694947
106	-5.4092655	1.9225942
107	-3.4658084	2.996866
108	4.931686	2.5979927
109	-1.0380304	-2.0263863
110	-6.149889	2.8935874
111	-5.390299	-6.1199713
112	-4.6517386	-4.8222466
113	-5.751529	1.6202184
114	-0.30452165	-5.3423815
115	0.12926716	-4.4922256
116	-5.382732	1.643876
117	4.293448	3.5577312
118	-1.5982134	0.8470018
119	-2.816551	-7.1715117
120	0.8014343	4.757024
121	-4.028382	4.1641736
122	-5.711151	1.3483847
123	-5.4187427	1.4660059
124	-5.159271	-5.9571857
125	-6.286244	3.1657817
126	-2.3481133	2.667905
127	3.0051215	4.3649383
128	-6.2183576	2.9936574
129	-3.7072005	0.92669135
130	-4.6994596	-4.683037
131	-4.759876	-4.5833063
132	-5.3992	1.8527086
133	-4.9059596	1.979018
134	-5.7862306	6.914276
135	-1.1146696	-2.1151564
136	5.43623	-4.267756
137	5.1999936	-2.824675
138	-4.054607	4.1451263
139	-0.8004769	-9.024177
140	-4.3185673	0.632135
141	-4.757296	2.2854903
142	-3.2125175	0.35821098
143	-2.3414407	-6.3253555
144	-3.913729	0.7141591
145	-6.4935308	3.0258143
146	-4.1686006	-3.8216388
147	-4.1350193	-3.784931
148	-2.1540763	-7.301871
149	-2.335252	0.8412204
150	0.12693974	-4.2273574
151	-2.274003	2.7701118
152	-4.17799	0.64661944
153	-2.6150715	0.99404854
154	-4.094732	-3.8510368
155	-4.6895065	-4.5503044
156	1.7971358	-5.0317817
157	-2.660494	-6.3725147
158	-0.298122	-7.3694215
159	-5.42893	2.277385
160	-4.6810412	-4.5651817
161	-2.7919557	-2.4559157
162	-2.7919557	-2.4559157
163	7.3546987	-2.380862
164	6.9704785	-2.204881
165	-0.45193693	1.4177148
166	1.2559824	-7.715909
167	9.169096	-0.064067885
168	8.516752	0.8031867
169	-0.025370302	-7.2726398
170	-0.0057505984	-6.2774553
171	-1.1934836	-4.459699
172	6.900083	-2.1919281
173	6.087106	-2.3060195
174	10.554363	0.46137577
175	-3.8566034	-3.9843185
176	6.2077155	-2.3226254
177	7.16553	-3.1775963
178	5.260406	-2.8689196
179	-0.748489	1.3155819
180	-3.5620916	3.0127246
181	0.5218135	-5.0346775
182	1.1661634	-7.9286213
183	-3.2875564	-7.518741
184	5.3254395	-0.92948973
185	6.5726123	-2.3118567
186	0.59981215	-4.8321447
187	-3.4913895	-7.401086
188	5.040437	2.9112322
189	7.0464787	-2.13077
190	0.77371764	-8.989317
191	7.0351295	-2.1918983
192	0.10079502	-4.9466305
193	7.2810287	-3.7421732
194	0.19019422	-5.183174
195	0.57021534	-1.3613397
196	5.3359656	-2.9223244
197	-2.5975602	-7.9549837
198	-3.322095	-7.477823
199	6.7305937	-2.2601461
200	6.077866	-0.85532475
201	8.297213	0.6723374
202	-0.25605506	1.4619085
203	5.097635	-0.6507765
204	6.550711	-2.1179945
205	-0.6944548	1.3823236
206	1.5314877	-4.4042816
207	5.161266	-0.6319071
208	0.46882325	-4.9345407
209	5.4535594	-3.034416
210	-0.06702775	-9.117458
211	4.8241715	3.6494253
212	9.579925	0.34035516
213	9.262748	4.1532135
214	-3.0987837	0.8558093
215	10.662096	0.264189
216	1.588509	-7.8741484
217	10.489907	0.3646251
218	-0.46186092	1.3400496
219	6.3526406	-4.423534
220	-0.19235745	-2.343319
221	9.7760935	4.6867886
222	5.287628	-2.9269683
223	6.190207	-4.1752462
224	1.3801086	-6.727358
225	5.082215	-2.5868227
226	0.03691329	-4.3239555
227	3.0879767	-1.6296867
228	-4.210538	-3.792113
229	0.63002944	-1.2413968
230	6.6768236	-1.9882482
231	7.2858458	-3.4790292
232	2.366316	-8.128284
233	5.012662	-0.662616
234	-3.1673448	-8.071514
235	1.4477215	-7.6045594
236	7.0020394	-0.9473169
237	5.5627165	-0.5092986
238	3.3432229	-2.0422466
239	5.0006547	2.8062282
240	1.9615781	-8.332214
241	5.2238193	-3.0221202
242	7.0433106	-3.1697538
243	0.29182765	-7.7055693
244	5.276099	3.945586
245	4.6871767	-3.9658158
246	-2.3043892	-6.064005
247	1.3531106	-4.696191
248	5.5781207	-3.0418525
249	10.7058935	0.13613959
250	-3.598969	6.9658113
251	7.0877123	-2.4476972
