	log_likelihood
0	15.119698
1	23.459755
2	12.81062
3	13.490173
4	18.913437
5	20.776796
6	10.952691
7	18.155
8	20.980686
9	22.894684
10	25.748316
11	6.5862455
12	11.666072
13	20.00352
14	21.78567
15	3.2071266
16	18.03005
17	13.186468
18	18.41727
19	8.38393
20	24.164425
21	2.3464305
22	10.406983
23	15.534243
24	12.074199
25	20.810863
26	9.51285
27	2.5143135
28	15.291858
29	16.688013
30	23.716743
31	4.3415947
32	6.649724
33	7.8482523
34	12.703275
35	12.7604065
36	23.206528
37	19.071371
38	15.2553005
39	16.139067
40	9.036493
41	20.958216
42	20.924011
43	25.181955
44	23.752645
45	24.555029
46	11.154187
47	18.590809
48	23.907177
49	13.031073
50	15.906424
51	18.3335
52	21.59229
53	19.56011
54	24.59187
55	24.319628
56	19.14152
57	13.041235
58	10.420295
59	19.086765
60	11.542206
61	11.910339
62	12.830905
63	12.345598
64	8.493283
65	17.673279
66	27.29223
67	20.233807
68	19.96227
69	9.866682
70	19.899765
71	6.4825363
72	21.913082
73	19.762503
74	7.4958205
75	8.6428585
76	12.462759
77	11.335357
78	24.477411
79	23.746994
80	16.188568
81	6.9057655
82	14.593228
83	-1.0781479
84	8.24811
85	6.968019
86	18.670462
87	18.15437
88	6.268449
89	11.766342
90	19.379404
91	-0.96446687
92	20.565777
93	11.372534
94	16.734776
95	-2.2146344
96	15.001907
97	6.7149367
98	15.209086
99	5.3909054
100	15.166273
101	-1.2231483
102	26.826538
103	12.4080305
104	3.9861913
105	19.966394
106	21.548853
107	18.051365
108	11.012621
109	4.5562143
110	16.150568
111	20.188892
112	27.636658
113	20.698662
114	13.329878
115	18.019863
116	20.939672
117	20.28564
118	14.488899
119	22.369934
120	7.6666594
121	21.322803
122	17.17297
123	16.45608
124	26.039114
125	18.217459
126	16.408466
127	-2.0684454
128	17.578686
129	20.317242
130	26.611774
131	26.711948
132	21.519327
133	21.122341
134	8.026059
135	10.512245
136	10.096231
137	15.863264
138	23.082727
139	12.5197
140	21.17852
141	11.256727
142	6.5134325
143	18.690517
144	16.537584
145	21.244846
146	26.507923
147	25.797857
148	4.3287897
149	17.978394
150	17.405315
151	9.459335
152	19.465557
153	22.230097
154	26.531607
155	24.82015
156	12.400002
157	19.850372
158	6.5383615
159	19.50124
160	23.850094
161	16.860777
162	16.721289
163	6.870397
164	15.494432
165	12.617482
166	19.86916
167	5.201287
168	3.0240815
169	8.429382
170	14.869342
171	2.8342547
172	16.627832
173	13.79232
174	6.1380267
175	22.607056
176	15.006291
177	11.152221
178	16.398699
179	9.893816
180	15.758408
181	13.80423
182	16.074417
183	19.56073
184	13.131513
185	19.496235
186	13.786395
187	17.823322
188	16.895504
189	16.209236
190	12.801969
191	15.032735
192	12.725563
193	5.567613
194	8.569071
195	7.4468164
196	15.407316
197	6.06344
198	18.299547
199	18.243824
200	11.477539
201	1.5044452
202	5.771223
203	11.764394
204	17.452679
205	15.063687
206	10.749945
207	10.808884
208	17.09995
209	15.978395
210	15.601415
211	16.638302
212	7.0521507
213	3.6353326
214	4.8561544
215	6.7820425
216	19.229742
217	7.1883955
218	10.734449
219	5.4049134
220	4.6998987
221	-0.81282806
222	17.753736
223	5.851081
224	15.223715
225	13.714816
226	15.7629595
227	11.308477
228	25.85553
229	5.152995
230	14.43264
231	7.0792627
232	10.012129
233	9.593283
234	12.025454
235	17.05608
236	-0.19876456
237	7.467408
238	7.429708
239	19.874722
240	13.074597
241	15.668863
242	13.099009
243	17.29803
244	7.7161264
245	-1.1090758
246	6.188491
247	15.610181
248	11.7429905
249	5.8324375
250	-11.056257
251	8.232996
252	17.160324
253	9.831286
254	16.824202
255	15.42908
256	20.789515
257	6.7155547
258	2.9037082
259	21.376919
260	15.6795
261	11.491592
262	11.406367
263	6.213004
264	8.663628
265	10.51573
266	12.122834
267	8.070444
268	17.34491
269	9.767265
270	8.772479
271	14.552874
272	12.913931
273	10.129931
274	14.844104
275	20.154087
276	11.074995
277	11.515699
278	9.080587
279	1.3720963
280	4.675833
281	16.744413
282	12.762242
283	14.585887
284	16.468155
285	17.833652
286	15.044458
287	6.488674
288	12.84897
289	-9.988448
290	5.308987
291	18.545298
292	0.5935547
293	6.9289427
294	19.394619
295	-1.2947004
296	16.134794
297	13.078239
298	4.8553286
299	16.15481
300	14.214488
301	12.280917
302	12.858645
303	19.160069
304	12.470708
305	18.28626
306	0.23127505
307	9.782096
308	10.422443
309	12.142948
310	20.00204
311	15.496641
312	12.471791
313	14.003012
314	6.901015
315	13.444194
316	19.429415
317	14.116671
318	16.895746
319	6.2455516
320	7.3802133
321	11.044987
322	11.007683
323	16.547789
324	13.344928
325	13.835251
326	6.5874496
327	-3.9842534
328	12.826154
329	9.738172
330	13.313693
331	10.8826275
332	9.308577
333	3.6517074
334	18.05392
335	10.756447
336	12.46456
337	17.64796
338	16.913244
339	8.864587
340	16.470903
341	14.099696
342	13.424906
343	14.096464
344	8.626948
345	13.974848
346	14.36754
347	16.730106
348	14.75458
349	19.228264
350	14.967764
351	1.9009979
352	6.883386
353	12.018053
354	17.445017
355	7.961699
356	3.7817123
357	13.745067
358	14.761942
359	14.163345
360	7.083209
361	4.42865
362	8.287134
363	-2.1320677
364	7.5037956
365	-1.9159148
366	2.3007214
367	7.2260466
