	z_coordinate_0	z_coordinate_1
0	1.0511208	-2.7941186
1	1.5302386	-4.263034
2	1.4290736	-3.7640224
3	1.4749138	-3.86746
4	2.488613	-1.6284013
5	2.4056134	-1.375589
6	2.370967	-1.4318744
7	2.5346904	-1.5856768
8	2.431972	-1.4375592
9	2.550557	-1.508356
10	2.7740624	-2.8285043
11	-1.8370337	-4.7369046
12	-2.9771018	-4.284152
13	-1.633219	-4.86402
14	-0.6674085	-5.7899933
15	-3.0705917	-4.3337474
16	-1.5987345	-5.3165035
17	-2.6858387	-4.300064
18	-3.4830933	-4.469074
19	-3.2281497	-4.201349
20	-3.35071	-4.246667
21	-3.3497891	-4.3758907
22	-3.208267	-4.337327
23	-3.4524105	-4.9057937
24	-3.1148787	-4.4901595
25	-3.5015244	-4.860636
26	-3.1634302	-4.1635904
27	-3.1888494	-4.12621
28	-3.4046683	-4.650813
29	-3.3408408	-4.237048
30	-3.6812935	-5.1401653
31	-3.583515	-4.5043206
32	-3.8716688	-5.106333
33	-0.46645364	-3.1571887
34	-0.55958176	-3.4691238
35	0.14572424	-4.6142488
36	0.31329784	-5.1296406
37	8.279499	-3.9633257
38	8.375018	-3.8148415
39	2.0572207	-7.462355
40	2.06227	-7.282572
41	2.0766284	-7.28688
42	1.8394085	-4.9381833
43	1.6537434	-5.24164
44	1.5404813	-5.234766
45	1.2098179	-3.038605
46	1.2612531	-2.8860328
47	1.5218341	-3.8800178
48	4.45378	-3.7208333
49	4.2639127	-3.3228571
50	5.173383	-4.377977
51	5.1141276	-4.519883
52	7.938105	-6.02637
53	9.992128	-4.388368
54	9.568442	-4.507837
55	9.792261	-2.6622407
56	4.813457	-6.0529532
57	4.4044766	-5.443318
58	4.1444893	-4.9727936
59	3.5372903	-4.2080655
60	4.211276	-4.8743577
61	4.6436405	-5.6279125
62	4.7010446	-4.989636
63	8.939322	-3.1836329
64	8.671327	-3.4519842
65	3.787745	-7.0815597
66	3.7591665	-6.3219757
67	3.7637136	-6.4652705
68	1.9556679	-7.7372184
69	1.965078	-7.2833014
70	1.9212958	-7.637961
71	2.015878	-7.7332983
72	1.454083	-6.766338
73	0.9338636	-5.097615
74	-1.017944	-3.1535301
75	0.7390154	-4.929466
76	0.9364731	-4.9739003
77	1.2179934	-5.5437346
78	4.4782314	-5.0971985
79	3.9805286	-4.1837683
80	4.504074	-5.2701592
81	4.435372	-4.948683
82	1.2686459	-4.0869308
83	1.0682768	-3.4298222
84	1.0900507	-4.226258
85	0.8632984	-3.3408432
86	0.75520754	-1.5950454
87	0.8520486	-2.0123286
88	0.7772473	-2.103949
89	0.78844565	-1.9548957
90	2.3855932	-3.8070364
91	2.5311935	-4.628069
92	1.9915906	-3.2080972
93	1.1456934	-2.6786125
94	1.0919905	-2.5225205
95	0.8451164	-1.7067362
96	1.3513912	-3.3833482
97	1.0330652	-2.2425466
98	-3.2422075	-3.156057
99	-2.9808314	-3.186632
100	-3.7282546	-4.7644386
101	-3.4083955	-3.3548765
102	-3.5057256	-3.2695558
103	-3.7144604	-3.3664577
104	-3.6595	-3.3717873
105	-3.5999572	-3.2586915
106	-3.5579858	-3.219312
107	-3.5684097	-3.382579
108	-2.2576768	-3.6695218
109	-1.9238185	-1.0718443
110	-2.315368	-1.2373652
111	-2.2355242	-1.258259
112	-2.1083374	-1.0616199
113	-2.2983406	-1.2385186
114	-2.0617428	-1.3066123
115	-1.9155694	-1.162263
116	-2.3698952	-1.2683997
117	-2.1824458	-1.5361457
118	-7.6160817	-3.7791524
119	-7.7797422	-3.8671305
120	-7.888202	-3.9555252
121	-8.021832	-4.0567493
122	-7.8813586	-3.9641025
123	-7.7930703	-3.8464465
124	-8.139047	-4.0365043
125	-8.864769	-2.1149657
126	-8.798121	-2.1936684
127	-8.833264	-2.0834064
128	-8.752955	-2.2309687
129	-8.719687	-2.2109244
130	-8.773748	-2.2663226
131	-8.734892	-2.216366
132	-9.295931	-2.6371527
133	-8.769526	-2.2233837
134	-8.904112	-2.1864436
135	-8.808773	-2.2046125
136	-8.942157	-2.1281705
137	-8.856192	-2.143678
138	-8.983944	-2.103485
139	-8.88099	-1.4962182
140	-9.153599	-7.795106
141	-6.6608305	0.36767697
142	-6.7665806	0.40916145
143	-6.281157	0.33771032
144	-6.076198	0.30262274
145	-6.753688	0.41041976
146	-6.7171497	0.39159977
147	-6.509561	0.36179745
148	-6.0668955	0.35480064
149	-6.03901	0.36988187
150	-9.035436	-7.7902837
151	-6.1280866	0.33750278
152	-8.983528	-8.020579
153	-9.122813	-7.828793
154	-6.114018	0.25924885
155	-4.3242	0.22025053
156	-4.413992	0.18945508
157	-5.7688026	0.40300322
158	-7.8939905	-8.987289
159	-4.224184	0.21497394
160	-7.8475275	-9.187601
161	-7.795095	-9.36862
162	-4.526013	0.0015489161
163	-4.397074	0.26084203
164	-4.2407246	0.25843066
165	-4.5637026	0.1939163
166	-4.52034	0.14621799
167	-4.5055914	0.110391125
168	-4.5040903	0.058142617
169	-4.4605823	0.08195685
170	0.75659007	-1.2584428
171	0.75397176	-1.0595137
172	0.62476367	-1.3490341
173	1.0133643	-3.0639315
174	0.76486444	-2.248249
175	0.862042	-1.2179561
176	0.77962136	-1.0706915
177	0.8952773	-2.1074839
178	0.775109	-1.5394075
179	0.76542246	-2.18312
180	0.8118181	-1.503487
181	0.9098185	-1.6386346
182	1.0104679	-2.1031575
183	0.8784726	-2.2378035
184	0.8685084	-2.0616643
185	6.2674923	-2.2996888
186	6.655446	-2.536049
187	6.451916	-2.304994
188	7.0042324	-2.8756788
189	6.8775153	-2.7955596
190	6.981777	-2.677318
191	8.218072	-2.9100282
192	8.133232	-2.9023638
193	8.759087	-1.6897357
194	9.169315	-1.712578
195	8.9874	-1.8372875
