	z_coordinate_0	z_coordinate_1
0	0.14829864	-0.8010894
1	-0.72677875	-1.0368114
2	-0.26395106	-1.0747113
3	-0.33983564	-1.0483694
4	2.9183884	-0.17991653
5	3.7210562	-0.011977613
6	3.727848	0.15039837
7	3.6108818	-0.12319878
8	3.6442719	-0.010217398
9	3.6436539	-0.14707237
10	-1.5254099	-0.39677304
11	-0.033088177	2.120529
12	0.727092	3.2956843
13	-0.12076162	1.940337
14	-1.0776631	1.0994647
15	0.7176823	3.3132453
16	-0.24851252	1.9667671
17	0.6621496	2.881959
18	0.8342466	3.7747815
19	0.8374657	3.4275649
20	0.81529015	3.5483744
21	0.7892251	3.655372
22	0.74059653	3.4977949
23	0.64627016	3.8687322
24	0.6565237	3.4913285
25	0.69197804	3.9532638
26	0.800112	3.4693766
27	0.834777	3.4389207
28	0.71325046	3.823981
29	0.8659671	3.643887
30	0.62652105	4.1434956
31	0.863297	3.7931576
32	0.86378783	4.1957307
33	0.5312872	0.74525326
34	0.33334768	0.8536598
35	-0.85981286	0.41799134
36	-1.2788001	0.40854394
37	-3.4803157	-6.726196
38	-3.7123628	-6.680427
39	-3.3319964	-0.26767343
40	-3.1916678	-0.30198616
41	-3.1108894	-0.3013235
42	-1.7630192	-0.33558595
43	-1.9822148	-0.21391934
44	-1.8387201	-0.15421143
45	0.59601	0.18280202
46	0.8426019	1.0561261
47	-0.6083008	-0.28482246
48	-2.516466	-2.4492717
49	-1.958557	-2.5802827
50	-3.760369	-2.240636
51	-3.60031	-2.225965
52	-3.2328	-6.649779
53	-4.509742	-8.051276
54	-4.7613926	-7.5765376
55	-6.0698743	-7.6735606
56	-2.9025817	-2.3918216
57	-2.0668273	-2.454179
58	-1.5765687	-2.7352843
59	-1.351736	-2.3972404
60	-1.5966235	-2.7145936
61	-2.2509708	-2.5472252
62	-1.707666	-3.2070348
63	-4.9455643	-6.5826135
64	-4.7587852	-6.620763
65	-2.9854014	-1.2733111
66	-2.2752557	-1.3609977
67	-2.55852	-1.3117115
68	-3.2741287	0.17652303
69	-2.8495915	0.23608488
70	-3.256067	0.1368796
71	-3.2732508	0.14552934
72	-2.989563	0.9437595
73	-1.9140342	1.7988632
74	-0.5469914	2.5446446
75	-1.6995298	1.8878787
76	-1.7543179	1.7790041
77	-2.1126795	1.5297501
78	-2.7152448	-2.1294549
79	-1.4388155	-2.4688675
80	-2.717424	-2.1500013
81	-2.242272	-2.2919824
82	-0.6303178	-0.4917906
83	-0.09586252	-0.6833886
84	-0.7214767	-0.2968294
85	-0.0114723295	-0.46906418
86	1.2215562	-0.8498246
87	0.8562477	-0.9071488
88	0.7774889	-0.5851273
89	0.90651387	-0.6333982
90	-1.2124623	1.2432201
91	-2.3891544	0.9004958
92	1.2304944	1.1937087
93	0.32133716	-0.920302
94	0.53474975	-0.56905293
95	0.9421957	-1.183094
96	-0.36587155	-1.0894499
97	0.63424826	-1.05056
98	1.2915647	3.4179728
99	1.1998347	3.177967
100	0.8280448	4.7307878
101	1.2577404	3.593836
102	1.3573478	3.6678421
103	1.3619033	3.788001
104	1.3240205	3.7821803
105	1.4216899	3.7004323
106	1.3549882	3.701215
107	1.2715179	3.7102127
108	0.76749885	2.68403
109	2.7176354	1.9857314
110	2.8474312	2.2665658
111	2.736626	2.210708
112	2.8539891	2.1294062
113	2.799278	2.358464
114	2.703721	2.205343
115	2.7283297	2.086623
116	2.9082894	2.5089314
117	2.5729256	2.3614166
118	4.6427517	5.4266763
119	4.7377014	5.5018477
120	4.8062677	5.4236836
121	5.002813	5.3345847
122	4.810322	5.4089828
123	4.7545757	5.4934773
124	5.134104	5.336142
125	4.494145	7.2868705
126	4.337529	7.3802266
127	4.5121346	7.24018
128	4.2669964	7.371654
129	4.270906	7.3403835
130	4.248558	7.3759437
131	4.358488	7.234708
132	4.2980647	7.493263
133	4.3186383	7.3217907
134	4.461446	7.334088
135	4.328758	7.3944926
136	4.524167	7.3178973
137	4.4374957	7.345591
138	4.596264	7.369475
139	4.9785376	7.32774
140	-10.662533	2.4792645
141	9.331133	3.8528864
142	9.568451	3.9147346
143	8.794117	3.7309353
144	8.561098	3.6621919
145	9.560393	3.9138024
146	9.445439	3.8492086
147	9.086695	3.728629
148	8.81465	3.5597444
149	8.770948	3.5626469
150	-10.758245	2.4336753
151	8.723385	3.624555
152	-10.8104	2.4440987
153	-10.47555	2.539786
154	8.35102	3.6682813
155	6.6710677	2.946726
156	6.753548	3.065781
157	8.607319	3.3915524
158	-9.903048	2.0956223
159	6.6232343	2.9348304
160	-9.59669	2.1835072
161	-9.595311	2.1559477
162	6.6506004	3.1158907
163	6.7743444	3.343355
164	6.587889	2.8164222
165	6.837593	3.5697896
166	6.7703032	3.21786
167	6.723524	3.1282632
168	6.8067617	3.231178
169	6.725977	3.1126637
170	1.7926241	-0.002278909
171	1.7027808	-0.31086856
172	1.4880909	-0.2254875
173	-0.600338	-0.452434
174	0.59801435	-0.22967136
175	1.5902634	-0.44759446
176	1.6743832	-0.45901686
177	0.68552434	-1.3156042
178	1.214057	-1.14715
179	0.5658732	-0.8865822
180	1.3038247	-1.2173164
181	1.2322024	-1.1006777
182	0.93959916	-0.47536206
183	0.6463099	-0.67701536
184	0.75694764	-1.4217951
185	-4.498774	-4.0189524
186	-4.840334	-4.11295
187	-4.809757	-4.067308
188	-4.9547377	-4.099482
189	-4.7723484	-4.1496553
190	-5.0259714	-4.1111617
191	-5.1089306	-5.5586495
192	-5.0646954	-5.6316233
