	z_coordinate_0	z_coordinate_1
0	5.1874866	0.32618916
1	5.2256045	0.73118436
2	4.6330185	-1.5913754
3	3.573746	-2.6366622
4	5.180653	-0.43072185
5	4.691845	-0.81623304
6	5.408845	1.391912
7	4.957323	0.4892949
8	3.965163	-2.158261
9	4.951056	-0.6437992
10	5.078838	0.93100464
11	5.8339486	1.1357037
12	3.421561	-3.0902452
13	3.176119	-3.7631552
14	3.6881466	-2.6763668
15	4.396903	-1.2829242
16	3.3392317	-2.530348
17	4.200192	-2.3027914
18	4.0542655	-1.133353
19	4.107646	-1.9759326
20	5.39565	-1.3171909
21	4.0846496	-0.44067124
22	4.8496065	-0.63699305
23	4.6414	0.7787955
24	4.383735	-0.7911417
25	4.3539243	-1.3543701
26	4.425311	-0.9776713
27	5.08462	0.31666982
28	4.9277315	0.6095259
29	3.8228486	-1.119577
30	4.2322955	-3.1862037
31	3.7263687	-3.4542146
32	4.831452	0.5218847
33	4.804507	-0.004513167
34	3.970929	-1.55143
35	4.919496	-1.5261074
36	5.513071	1.107315
37	4.544426	-0.8971781
38	4.5826764	-1.2097623
39	4.607079	2.8864784
40	5.60064	0.44959384
41	4.038132	-1.1528504
42	3.9383194	-2.2236767
43	4.829893	0.9655235
44	4.3057656	-2.319649
45	5.290811	0.3849246
46	4.1045446	-2.1117094
47	4.7416754	-0.40736878
48	0.3841151	-2.5799408
49	0.16487925	-1.3270838
50	0.0049229935	-2.3548975
51	1.2638162	2.3118203
52	0.32873204	-0.7047565
53	1.1128372	0.6607396
54	-0.38064572	-1.319584
55	2.5102284	2.358507
56	0.97416925	-1.316653
57	1.3230683	1.2821151
58	2.1571476	3.3193498
59	0.678899	-0.06749718
60	1.4495128	2.715879
61	0.6780084	-0.15942685
62	1.5071143	0.55760974
63	0.6156617	-1.7813525
64	0.6801068	0.21576531
65	1.9383018	0.975604
66	-0.22765984	2.5876184
67	1.7929688	1.7480676
68	-0.7712744	-0.6777082
69	1.2810888	0.17162259
70	-0.2137081	1.2133179
71	1.2480977	0.09166233
72	1.1018834	-0.81745213
73	0.6978014	-1.4167682
74	0.5547622	-1.5980077
75	-0.79432243	-1.785072
76	0.52244955	0.043079164
77	2.1526055	1.4430996
78	1.8372641	2.0681698
79	2.0682747	2.0931747
80	1.5737778	0.96367073
81	-0.24995965	0.5704573
82	0.78459954	0.34656265
83	-0.22426674	-1.0286138
84	0.12418695	-1.8462055
85	0.45912808	2.209292
86	1.2966919	0.27179882
87	1.3519969	1.7101059
88	1.3883531	1.3994403
89	0.6843144	-0.4423414
90	1.5101546	1.3036621
91	2.4369683	2.5533834
92	1.2448816	1.0485967
93	1.4423074	0.1436844
94	1.2458476	0.41744894
95	1.1261821	-0.3964561
96	2.3543792	2.0960507
97	1.2870146	0.69799334
98	-3.8848593	-2.0557888
99	-1.0521119	0.43621612
100	-2.5340905	-3.009012
101	-1.5563453	-0.7278466
102	-3.0147433	-1.5751144
103	-2.489973	-4.3975363
104	0.57881004	1.6442199
105	-1.5616035	-3.5773685
106	-2.2951846	0.26950142
107	-3.9999204	-3.605659
108	-2.0350416	-1.7068995
109	-1.9076924	-0.14297481
110	-2.5113873	-2.1282036
111	-1.2352101	1.0475926
112	-2.6311529	-0.3644273
113	-3.011646	-1.7639582
114	-1.5247068	-1.417119
115	-3.0698264	-4.8307276
116	-3.4089546	-3.8676298
117	-0.38452387	2.54435
118	-3.219124	-2.6700172
119	-0.98613685	0.25538838
120	-2.1903572	-4.431423
121	-1.1332152	0.13796577
122	-2.6946924	-2.3641496
123	-1.5425779	-3.5043314
124	-0.901802	-0.08088909
125	-0.9097914	-0.53628933
126	-2.671328	-0.7189811
127	-0.71726006	-3.2876928
128	-1.7945281	-3.564275
129	-2.2091894	-5.1304636
130	-2.9676929	-0.7844993
131	0.02885772	-0.25057846
132	-0.07562347	0.9254244
133	-2.8553157	-4.3594227
134	-3.4564657	-2.0517182
