	log_likelihood
0	7.669235
1	8.253532
2	9.006383
3	8.701305
4	5.5628037
5	7.4919486
6	8.59065
7	8.396191
8	7.3130517
9	7.1928496
10	8.850791
11	7.3208885
12	6.109103
13	2.5651593
14	1.6156223
15	3.4930787
16	8.302536
17	5.8208237
18	7.6519485
19	6.5876436
20	7.3078246
21	4.94315
22	6.622453
23	6.941002
24	7.2970247
25	8.017775
26	8.193949
27	7.010447
28	8.652338
29	8.738565
30	6.4479866
31	5.9161043
32	4.1210814
33	8.306124
34	6.3776603
35	4.954058
36	7.6791625
37	8.400185
38	8.2301035
39	7.8704276
40	2.525658
41	7.7097383
42	5.767585
43	5.1328135
44	7.7539225
45	8.275627
46	8.543257
47	7.8274765
48	7.860303
49	7.9428673
50	4.470037
51	7.827962
52	6.759014
53	5.3920746
54	7.335864
55	3.7015808
56	5.288645
57	6.2488804
58	6.136198
59	5.787848
60	7.2013407
61	4.064119
62	7.6703033
63	6.0432224
64	8.035011
65	7.962854
66	6.5986466
67	3.1769586
68	7.285571
69	4.0545797
70	7.532388
71	5.608099
72	5.9548144
73	8.550375
74	7.5208335
75	3.8673184
76	7.60868
77	7.35702
78	5.842082
79	7.1210775
80	6.5595922
81	7.973607
82	5.469615
83	7.442523
84	2.2427373
85	7.650981
86	2.941388
87	8.061369
88	7.6803503
89	6.767316
90	7.488693
91	7.752246
92	5.8271265
93	8.436116
94	7.9014344
95	8.839212
96	8.506784
97	4.0299773
98	8.695173
99	2.4597037
100	4.1382422
101	7.0308256
102	5.5049562
103	5.576658
104	5.5121727
105	3.2634132
106	5.779818
107	1.5312618
108	1.5839199
109	6.420184
110	5.357173
111	7.2815657
112	3.1294963
113	2.992809
114	5.5056143
115	7.235602
116	2.6768222
117	2.7124999
118	3.4022164
119	6.3574505
120	4.175408
121	5.344474
122	6.09603
123	5.903994
124	5.146528
125	5.8322806
126	5.2971773
127	5.204076
128	6.4070616
129	6.182416
130	3.198458
131	4.9480515
132	5.8565392
133	2.499827
134	4.8926425
135	4.0079446
136	6.4650064
137	5.4148607
138	7.46087
139	5.690223
140	5.207527
141	4.5030985
142	5.7647295
143	4.5858283
144	5.5528784
145	4.3850813
146	7.2826424
147	4.063857
148	4.577512
